"Time (YYYY:MM:DD)","Range (km)"
2018:05:20:04:36:01.000,4877.547174
2018:05:20:04:46:01.000,4474.483954
2018:05:20:04:56:01.000,4081.777928
2018:05:20:05:06:01.000,3714.285211
2018:05:20:05:16:01.000,3395.892824
2018:05:20:05:18:47.188,3320.869471
2018:05:20:08:39:45.218,8815.183246
2018:05:20:08:49:45.000,9117.710489
2018:05:20:08:59:45.000,9411.670983
2018:05:20:09:09:45.000,9697.071497
2018:05:20:09:19:45.000,9974.053849
2018:05:20:09:29:45.000,10242.774026
2018:05:20:09:39:45.000,10503.395689
2018:05:20:09:49:45.000,10756.085581
2018:05:20:09:59:45.000,11001.010323
2018:05:20:10:09:45.000,11238.334176
2018:05:20:10:19:45.000,11468.217523
2018:05:20:10:29:45.000,11690.815850
2018:05:20:10:39:45.000,11906.279093
2018:05:20:10:49:45.000,12114.751258
2018:05:20:10:59:45.000,12316.370221
2018:05:20:11:09:45.000,12511.267669
2018:05:20:11:19:45.000,12699.569131
2018:05:20:11:29:45.000,12881.394084
2018:05:20:11:39:45.000,13056.856094
2018:05:20:11:49:45.000,13226.062994
2018:05:20:11:59:45.000,13389.117077
2018:05:20:12:09:45.000,13546.115299
2018:05:20:12:19:45.000,13697.149486
2018:05:20:12:29:45.000,13842.306539
2018:05:20:12:39:45.000,13981.668636
2018:05:20:12:49:45.000,14115.313426
2018:05:20:12:59:45.000,14243.314220
2018:05:20:13:09:45.000,14365.740168
2018:05:20:13:19:45.000,14482.656430
2018:05:20:13:29:45.000,14594.124340
2018:05:20:13:39:45.000,14700.201551
2018:05:20:13:49:45.000,14800.942184
2018:05:20:13:59:45.000,14896.396957
2018:05:20:14:09:45.000,14986.613309
2018:05:20:14:19:45.000,15071.635517
2018:05:20:14:29:45.000,15151.504802
2018:05:20:14:39:45.000,15226.259428
2018:05:20:14:49:45.000,15295.934791
2018:05:20:14:59:45.000,15360.563505
2018:05:20:15:09:45.000,15420.175475
2018:05:20:15:19:45.000,15474.797971
2018:05:20:15:29:45.000,15524.455684
2018:05:20:15:39:45.000,15569.170789
2018:05:20:15:49:45.000,15608.962989
2018:05:20:15:59:45.000,15643.849562
2018:05:20:16:09:45.000,15673.845398
2018:05:20:16:19:45.000,15698.963034
2018:05:20:16:29:45.000,15719.212674
2018:05:20:16:39:45.000,15734.602217
2018:05:20:16:49:45.000,15745.137269
2018:05:20:16:59:45.000,15750.821156
2018:05:20:17:09:45.000,15751.654926
2018:05:20:17:19:45.000,15747.637350
2018:05:20:17:29:45.000,15738.764917
2018:05:20:17:39:45.000,15725.031823
2018:05:20:17:49:45.000,15706.429952
2018:05:20:17:59:45.000,15682.948857
2018:05:20:18:09:45.000,15654.575729
2018:05:20:18:19:45.000,15621.295365
2018:05:20:18:29:45.000,15583.090129
2018:05:20:18:39:45.000,15539.939901
2018:05:20:18:49:45.000,15491.822028
2018:05:20:18:59:45.000,15438.711264
2018:05:20:19:09:45.000,15380.579700
2018:05:20:19:19:45.000,15317.396691
2018:05:20:19:29:45.000,15249.128770
2018:05:20:19:39:45.000,15175.739561
2018:05:20:19:49:45.000,15097.189673
2018:05:20:19:59:45.000,15013.436591
2018:05:20:20:09:45.000,14924.434554
2018:05:20:20:19:45.000,14830.134421
2018:05:20:20:29:45.000,14730.483528
2018:05:20:20:39:45.000,14625.425528
2018:05:20:20:49:45.000,14514.900218
2018:05:20:20:59:45.000,14398.843350
2018:05:20:21:09:45.000,14277.186431
2018:05:20:21:19:45.000,14149.856492
2018:05:20:21:29:45.000,14016.775854
2018:05:20:21:39:45.000,13877.861858
2018:05:20:21:49:45.000,13733.026582
2018:05:20:21:59:45.000,13582.176527
2018:05:20:22:09:45.000,13425.212278
2018:05:20:22:19:45.000,13262.028137
2018:05:20:22:29:45.000,13092.511721
2018:05:20:22:39:45.000,12916.543527
2018:05:20:22:49:45.000,12733.996462
2018:05:20:22:59:45.000,12544.735334
2018:05:20:23:09:45.000,12348.616296
2018:05:20:23:19:45.000,12145.486257
2018:05:20:23:29:45.000,11935.182243
2018:05:20:23:39:45.000,11717.530715
2018:05:20:23:49:45.000,11492.346853
2018:05:20:23:59:45.000,11259.433800
2018:05:21:00:09:45.000,11018.581888
2018:05:21:00:19:45.000,10769.567861
2018:05:21:00:29:45.000,10512.154124
2018:05:21:00:39:45.000,10246.088068
2018:05:21:00:49:45.000,9971.101547
2018:05:21:00:59:45.000,9686.910615
2018:05:21:01:09:45.000,9393.215705
2018:05:21:01:19:45.000,9089.702514
2018:05:21:01:29:45.000,8776.043998
2018:05:21:01:39:45.000,8451.904141
2018:05:21:01:49:45.000,8116.944472
2018:05:21:01:59:45.000,7770.834964
2018:05:21:02:09:45.000,7413.271864
2018:05:21:02:19:45.000,7044.006701
2018:05:21:02:29:45.000,6662.893533
2018:05:21:02:39:45.000,6269.966478
2018:05:21:02:49:45.000,5865.568526
2018:05:21:02:59:45.000,5450.569040
2018:05:21:03:09:45.000,5026.737912
2018:05:21:03:19:45.000,4597.401446
2018:05:21:03:29:45.000,4168.608737
2018:05:21:03:39:45.000,3751.204352
2018:05:21:03:49:45.000,3364.360750
2018:05:21:03:59:45.000,3040.716322
2018:05:21:04:05:52.734,2894.464877
2018:05:21:08:32:03.485,11099.062349
2018:05:21:08:42:03.000,11341.055624
2018:05:21:08:52:03.000,11575.615551
2018:05:21:09:02:03.000,11802.715695
2018:05:21:09:12:03.000,12022.521024
2018:05:21:09:22:03.000,12235.188891
2018:05:21:09:32:03.000,12440.869069
2018:05:21:09:42:03.000,12639.703892
2018:05:21:09:52:03.000,12831.828451
2018:05:21:10:02:03.000,13017.370836
2018:05:21:10:12:03.000,13196.452404
2018:05:21:10:22:03.000,13369.188048
2018:05:21:10:32:03.000,13535.686485
2018:05:21:10:42:03.000,13696.050529
2018:05:21:10:52:03.000,13850.377360
2018:05:21:11:02:03.000,13998.758791
2018:05:21:11:12:03.000,14141.281510
2018:05:21:11:22:03.000,14278.027327
2018:05:21:11:32:03.000,14409.073389
2018:05:21:11:42:03.000,14534.492399
2018:05:21:11:52:03.000,14654.352814
2018:05:21:12:02:03.000,14768.719027
2018:05:21:12:12:03.000,14877.651545
2018:05:21:12:22:03.000,14981.207149
2018:05:21:12:32:03.000,15079.439045
2018:05:21:12:42:03.000,15172.397004
2018:05:21:12:52:03.000,15260.127491
2018:05:21:13:02:03.000,15342.673783
2018:05:21:13:12:03.000,15420.076083
2018:05:21:13:22:03.000,15492.371616
2018:05:21:13:32:03.000,15559.594724
2018:05:21:13:42:03.000,15621.776951
2018:05:21:13:52:03.000,15678.947119
2018:05:21:14:02:03.000,15731.131398
2018:05:21:14:12:03.000,15778.353365
2018:05:21:14:22:03.000,15820.634066
2018:05:21:14:32:03.000,15857.992059
2018:05:21:14:42:03.000,15890.443459
2018:05:21:14:52:03.000,15918.001975
2018:05:21:15:02:03.000,15940.678939
2018:05:21:15:12:03.000,15958.483334
2018:05:21:15:22:03.000,15971.421809
2018:05:21:15:32:03.000,15979.498695
2018:05:21:15:42:03.000,15982.716011
2018:05:21:15:52:03.000,15981.073470
2018:05:21:16:02:03.000,15974.568469
2018:05:21:16:12:03.000,15963.196086
2018:05:21:16:22:03.000,15946.949065
2018:05:21:16:32:03.000,15925.817790
2018:05:21:16:42:03.000,15899.790263
2018:05:21:16:52:03.000,15868.852073
2018:05:21:17:02:03.000,15832.986350
2018:05:21:17:12:03.000,15792.173729
2018:05:21:17:22:03.000,15746.392288
2018:05:21:17:32:03.000,15695.617495
2018:05:21:17:42:03.000,15639.822141
2018:05:21:17:52:03.000,15578.976259
2018:05:21:18:02:03.000,15513.047048
2018:05:21:18:12:03.000,15441.998775
2018:05:21:18:22:03.000,15365.792675
2018:05:21:18:32:03.000,15284.386839
2018:05:21:18:42:03.000,15197.736092
2018:05:21:18:52:03.000,15105.791852
2018:05:21:19:02:03.000,15008.501989
2018:05:21:19:12:03.000,14905.810660
2018:05:21:19:22:03.000,14797.658129
2018:05:21:19:32:03.000,14683.980580
2018:05:21:19:42:03.000,14564.709899
2018:05:21:19:52:03.000,14439.773448
2018:05:21:20:02:03.000,14309.093810
2018:05:21:20:12:03.000,14172.588516
2018:05:21:20:22:03.000,14030.169741
2018:05:21:20:32:03.000,13881.743978
2018:05:21:20:42:03.000,13727.211677
2018:05:21:20:52:03.000,13566.466848
2018:05:21:21:02:03.000,13399.396635
2018:05:21:21:12:03.000,13225.880839
2018:05:21:21:22:03.000,13045.791402
2018:05:21:21:32:03.000,12858.991840
2018:05:21:21:42:03.000,12665.336622
2018:05:21:21:52:03.000,12464.670484
2018:05:21:22:02:03.000,12256.827688
2018:05:21:22:12:03.000,12041.631203
2018:05:21:22:22:03.000,11818.891811
2018:05:21:22:32:03.000,11588.407140
2018:05:21:22:42:03.000,11349.960607
2018:05:21:22:52:03.000,11103.320283
2018:05:21:23:02:03.000,10848.237683
2018:05:21:23:12:03.000,10584.446480
2018:05:21:23:22:03.000,10311.661194
2018:05:21:23:32:03.000,10029.575867
2018:05:21:23:42:03.000,9737.862821
2018:05:21:23:52:03.000,9436.171617
2018:05:22:00:02:03.000,9124.128395
2018:05:22:00:12:03.000,8801.335945
2018:05:22:00:22:03.000,8467.375004
2018:05:22:00:32:03.000,8121.807641
2018:05:22:00:42:03.000,7764.184127
2018:05:22:00:52:03.000,7394.055626
2018:05:22:01:02:03.000,7010.996658
2018:05:22:01:12:03.000,6614.644197
2018:05:22:01:22:03.000,6204.765538
