"Time (YYYY:MM:DD)","Range (km)"
2008:07:16:03:25:42.000,30877.481994
2008:07:16:03:35:42.000,30927.238886
2008:07:16:03:45:42.000,30975.399716
2008:07:16:03:55:42.000,31021.969254
2008:07:16:04:05:42.000,31066.952099
2008:07:16:04:15:42.000,31110.352684
2008:07:16:04:25:42.000,31152.175270
2008:07:16:04:35:42.000,31192.423966
2008:07:16:04:45:42.000,31231.102707
2008:07:16:04:55:42.000,31268.215274
2008:07:16:05:05:42.000,31303.765289
2008:07:16:05:15:42.000,31337.756220
2008:07:16:05:25:42.000,31370.191378
2008:07:16:05:35:42.000,31401.073925
2008:07:16:05:45:42.000,31430.406871
2008:07:16:05:55:42.000,31458.193077
2008:07:16:06:05:42.000,31484.435256
2008:07:16:06:15:42.000,31509.135975
2008:07:16:06:25:42.000,31532.297657
2008:07:16:06:35:42.000,31553.922580
2008:07:16:06:45:42.000,31574.012881
2008:07:16:06:55:42.000,31592.570553
2008:07:16:07:05:42.000,31609.597451
2008:07:16:07:15:42.000,31625.095289
2008:07:16:07:25:42.000,31639.065643
2008:07:16:07:35:42.000,31651.509950
2008:07:16:07:45:42.000,31662.429509
2008:07:16:07:55:42.000,31671.825487
2008:07:16:08:03:06.989,31677.810611
2008:07:17:12:46:35.817,2646.530390
2008:07:17:12:56:35.000,2917.288963
2008:07:17:13:06:35.000,3323.901858
2008:07:17:13:16:35.000,3799.496127
2008:07:17:13:26:35.000,4304.952128
2008:07:17:13:36:35.000,4819.522257
2008:07:17:13:46:35.000,5332.498952
2008:07:17:13:56:35.000,5838.417345
2008:07:17:14:06:35.000,6334.562515
2008:07:17:14:16:35.000,6819.687622
2008:07:17:14:26:35.000,7293.342301
2008:07:17:14:36:35.000,7755.511410
2008:07:17:14:46:35.000,8206.415928
2008:07:17:14:56:35.000,8646.400419
2008:07:17:15:06:35.000,9075.868933
2008:07:17:15:16:35.000,9495.248100
2008:07:17:15:26:35.000,9904.965625
2008:07:17:15:36:35.000,10305.438430
2008:07:17:15:46:35.000,10697.066077
2008:07:17:15:56:35.000,11080.227725
2008:07:17:16:06:35.000,11455.280664
2008:07:17:16:16:35.000,11822.560424
2008:07:17:16:26:35.000,12182.381323
2008:07:17:16:36:35.000,12535.037593
2008:07:17:16:46:35.000,12880.804372
2008:07:17:16:56:35.000,13219.939085
2008:07:17:17:06:35.000,13552.682665
2008:07:17:17:16:35.000,13879.260741
2008:07:17:17:26:35.000,14199.884907
2008:07:17:17:36:35.000,14514.753628
2008:07:17:17:46:35.000,14824.053354
2008:07:17:17:56:35.000,15127.959423
2008:07:17:18:06:35.000,15426.636902
2008:07:17:18:16:35.000,15720.241340
2008:07:17:18:26:35.000,16008.919591
2008:07:17:18:36:35.000,16292.810297
2008:07:17:18:46:35.000,16572.044595
2008:07:17:18:56:35.000,16846.746631
2008:07:17:19:06:35.000,17117.034055
2008:07:17:19:16:35.000,17383.018478
2008:07:17:19:26:35.000,17644.805865
2008:07:17:19:36:35.000,17902.497005
2008:07:17:19:46:35.000,18156.187722
2008:07:17:19:56:35.000,18405.969293
2008:07:17:20:06:35.000,18651.928714
2008:07:17:20:16:35.000,18894.148974
2008:07:17:20:26:35.000,19132.709304
