"Time (YYYY:MM:DD)","Range (km)"
2018:05:23:19:14:46.000,4272.003415
2018:05:23:19:24:46.000,4391.720167
2018:05:23:19:26:01.084,4407.311170
2018:05:24:01:08:33.984,4407.311419
2018:05:24:01:18:33.000,4286.633350
2018:05:24:01:28:33.000,4175.981655
2018:05:24:01:38:33.000,4078.251463
2018:05:24:01:48:33.000,3996.023786
2018:05:24:01:58:33.000,3931.637304
2018:05:24:02:08:33.000,3887.040823
2018:05:24:02:18:33.000,3863.649597
2018:05:24:02:28:33.000,3862.228589
2018:05:24:02:38:33.000,3882.824888
2018:05:24:02:48:33.000,3924.763442
2018:05:24:02:58:33.000,3986.707039
2018:05:24:03:08:33.000,4066.767863
2018:05:24:03:18:33.000,4162.649044
2018:05:24:03:28:33.000,4271.792860
2018:05:24:03:38:33.000,4391.516632
2018:05:24:03:39:49.057,4407.311536
2018:05:24:09:22:21.143,4407.311158
2018:05:24:09:32:21.000,4286.446489
2018:05:24:09:42:21.000,4175.786278
2018:05:24:09:52:21.000,4078.050984
2018:05:24:10:02:21.000,3995.822071
2018:05:24:10:12:21.000,3931.438562
2018:05:24:10:22:21.000,3886.849435
2018:05:24:10:32:21.000,3863.469907
2018:05:24:10:42:21.000,3862.064662
2018:05:24:10:52:21.000,3882.680284
2018:05:24:11:02:21.000,3924.641034
2018:05:24:11:12:21.000,3986.608899
2018:05:24:11:22:21.000,4066.695229
2018:05:24:11:32:21.000,4162.602356
2018:05:24:11:42:21.000,4271.771849
2018:05:24:11:52:21.000,4391.520435
2018:05:24:11:53:37.026,4407.312076
2018:05:24:17:36:08.213,4407.312102
2018:05:24:17:46:08.000,4286.434743
2018:05:24:17:56:08.000,4175.746063
2018:05:24:18:06:08.000,4077.981642
2018:05:24:18:16:08.000,3995.723722
2018:05:24:18:26:08.000,3931.312218
2018:05:24:18:36:08.000,3886.697066
2018:05:24:18:46:08.000,3863.294427
2018:05:24:18:56:08.000,3861.869828
2018:05:24:19:06:08.000,3882.470508
2018:05:24:19:16:08.000,3924.421137
2018:05:24:19:26:08.000,3986.383840
2018:05:24:19:36:08.000,4066.469854
2018:05:24:19:46:08.000,4162.381192
2018:05:24:19:56:08.000,4271.558961
2018:05:24:20:06:08.000,4391.319348
2018:05:24:20:07:24.978,4407.311149
2018:05:25:01:49:55.203,4407.311628
2018:05:25:01:59:55.000,4286.404378
2018:05:25:02:09:55.000,4175.686791
2018:05:25:02:19:55.000,4077.893168
2018:05:25:02:29:55.000,3995.606560
2018:05:25:02:39:55.000,3931.167794
2018:05:25:02:49:55.000,3886.527765
2018:05:25:02:59:55.000,3863.103558
2018:05:25:03:09:55.000,3861.661502
2018:05:25:03:19:55.000,3882.249427
2018:05:25:03:29:55.000,3924.192334
2018:05:25:03:39:55.000,3986.152402
2018:05:25:03:49:55.000,4066.240670
2018:05:25:03:59:55.000,4162.158757
2018:05:25:04:09:55.000,4271.347244
2018:05:25:04:19:55.000,4391.121723
2018:05:25:04:21:12.917,4407.311365
2018:05:25:10:03:42.108,4407.311177
2018:05:25:10:13:42.000,4286.355458
2018:05:25:10:23:42.000,4175.608732
2018:05:25:10:33:42.000,4077.786040
2018:05:25:10:43:42.000,3995.471272
