"Time (YYYY:MM:DD)","Range (km)"
2018:05:19:23:29:58.000,13093.562951
2018:05:19:23:39:58.000,12932.278220
2018:05:19:23:49:58.000,12764.744134
2018:05:19:23:59:58.000,12590.848061
2018:05:20:00:09:58.000,12410.470550
2018:05:20:00:19:58.000,12223.484948
2018:05:20:00:29:58.000,12029.756974
2018:05:20:00:39:58.000,11829.144296
2018:05:20:00:49:58.000,11621.496082
2018:05:20:00:59:58.000,11406.652557
2018:05:20:01:09:58.000,11184.444562
2018:05:20:01:19:58.000,10954.693152
2018:05:20:01:29:58.000,10717.209234
2018:05:20:01:39:58.000,10471.793316
2018:05:20:01:49:58.000,10218.235405
2018:05:20:01:59:58.000,9956.315138
2018:05:20:02:09:58.000,9685.802294
2018:05:20:02:19:58.000,9406.457831
2018:05:20:02:29:58.000,9118.035759
2018:05:20:02:39:58.000,8820.286214
2018:05:20:02:49:58.000,8512.960342
2018:05:20:02:59:58.000,8195.817898
2018:05:20:03:09:58.000,7868.638939
2018:05:20:03:19:58.000,7531.241755
2018:05:20:03:29:58.000,7183.510415
2018:05:20:03:39:58.000,6825.437354
2018:05:20:03:49:58.000,6457.189798
2018:05:20:03:59:58.000,6079.214620
2018:05:20:04:09:58.000,5692.406202
2018:05:20:04:19:58.000,5298.379139
2018:05:20:04:29:58.000,4899.917504
2018:05:20:04:39:58.000,4501.721815
2018:05:20:04:49:58.000,4111.646999
2018:05:20:04:59:58.000,3742.687691
2018:05:20:05:09:58.000,3415.838274
2018:05:20:05:19:58.000,3163.000702
2018:05:20:05:21:56.373,3125.396418
2018:05:20:08:31:56.998,8529.195558
2018:05:20:08:41:56.000,8831.967621
2018:05:20:08:51:56.000,9127.000234
2018:05:20:09:01:56.000,9413.813747
2018:05:20:09:11:56.000,9692.481511
2018:05:20:09:21:56.000,9963.105309
2018:05:20:09:31:56.000,10225.805641
2018:05:20:09:41:56.000,10480.714702
2018:05:20:09:51:56.000,10727.971324
2018:05:20:10:01:56.000,10967.717323
2018:05:20:10:11:56.000,11200.094881
2018:05:20:10:21:56.000,11425.244675
2018:05:20:10:31:56.000,11643.304569
2018:05:20:10:41:56.000,11854.408696
2018:05:20:10:51:56.000,12058.686856
2018:05:20:11:01:56.000,12256.264119
2018:05:20:11:11:56.000,12447.260601
2018:05:20:11:21:56.000,12631.791346
2018:05:20:11:31:56.000,12809.966307
2018:05:20:11:41:56.000,12981.890381
2018:05:20:11:51:56.000,13147.663485
2018:05:20:12:01:56.000,13307.380671
2018:05:20:12:11:56.000,13461.132252
2018:05:20:12:21:56.000,13609.003949
2018:05:20:12:31:56.000,13751.077036
2018:05:20:12:41:56.000,13887.428496
2018:05:20:12:51:56.000,14018.131170
2018:05:20:13:01:56.000,14143.253911
2018:05:20:13:11:56.000,14262.861724
2018:05:20:13:21:56.000,14377.015909
2018:05:20:13:31:56.000,14485.774194
2018:05:20:13:41:56.000,14589.190865
2018:05:20:13:51:56.000,14687.316881
2018:05:20:14:01:56.000,14780.199993
2018:05:20:14:11:56.000,14867.884848
2018:05:20:14:21:56.000,14950.413088
2018:05:20:14:31:56.000,15027.823445
2018:05:20:14:41:56.000,15100.151822
2018:05:20:14:51:56.000,15167.431377
2018:05:20:15:01:56.000,15229.692594
2018:05:20:15:11:56.000,15286.963348
2018:05:20:15:21:56.000,15339.268967
2018:05:20:15:31:56.000,15386.632285
2018:05:20:15:41:56.000,15429.073692
2018:05:20:15:51:56.000,15466.611174
2018:05:20:16:01:56.000,15499.260356
2018:05:20:16:11:56.000,15527.034527
2018:05:20:16:21:56.000,15549.944670
2018:05:20:16:31:56.000,15567.999484
2018:05:20:16:41:56.000,15581.205399
2018:05:20:16:51:56.000,15589.566589
2018:05:20:17:01:56.000,15593.084974
2018:05:20:17:11:56.000,15591.760222
2018:05:20:17:21:56.000,15585.589750
2018:05:20:17:31:56.000,15574.568704
2018:05:20:17:41:56.000,15558.689954
2018:05:20:17:51:56.000,15537.944068
2018:05:20:18:01:56.000,15512.319286
2018:05:20:18:11:56.000,15481.801492
2018:05:20:18:21:56.000,15446.374172
2018:05:20:18:31:56.000,15406.018373
2018:05:20:18:41:56.000,15360.712652
2018:05:20:18:51:56.000,15310.433018
2018:05:20:19:01:56.000,15255.152872
2018:05:20:19:11:56.000,15194.842928
2018:05:20:19:21:56.000,15129.471144
2018:05:20:19:31:56.000,15059.002625
2018:05:20:19:41:56.000,14983.399532
2018:05:20:19:51:56.000,14902.620976
2018:05:20:20:01:56.000,14816.622898
2018:05:20:20:11:56.000,14725.357947
2018:05:20:20:21:56.000,14628.775339
2018:05:20:20:31:56.000,14526.820704
2018:05:20:20:41:56.000,14419.435927
2018:05:20:20:51:56.000,14306.558961
2018:05:20:21:01:56.000,14188.123637
2018:05:20:21:11:56.000,14064.059452
2018:05:20:21:21:56.000,13934.291333
2018:05:20:21:31:56.000,13798.739390
2018:05:20:21:41:56.000,13657.318640
2018:05:20:21:51:56.000,13509.938710
2018:05:20:22:01:56.000,13356.503516
2018:05:20:22:11:56.000,13196.910909
2018:05:20:22:21:56.000,13031.052296
2018:05:20:22:31:56.000,12858.812222
2018:05:20:22:41:56.000,12680.067923
2018:05:20:22:51:56.000,12494.688842
2018:05:20:23:01:56.000,12302.536097
2018:05:20:23:11:56.000,12103.461917
2018:05:20:23:21:56.000,11897.309027
2018:05:20:23:31:56.000,11683.910003
2018:05:20:23:41:56.000,11463.086570
2018:05:20:23:51:56.000,11234.648877
2018:05:21:00:01:56.000,10998.394736
2018:05:21:00:11:56.000,10754.108853
2018:05:21:00:21:56.000,10501.562073
2018:05:21:00:31:56.000,10240.510663
2018:05:21:00:41:56.000,9970.695722
2018:05:21:00:51:56.000,9691.842780
2018:05:21:01:01:56.000,9403.661749
2018:05:21:01:11:56.000,9105.847427
2018:05:21:01:21:56.000,8798.080899
2018:05:21:01:31:56.000,8480.032340
2018:05:21:01:41:56.000,8151.366038
2018:05:21:01:51:56.000,7811.748890
2018:05:21:02:01:56.000,7460.864423
2018:05:21:02:11:56.000,7098.435656
2018:05:21:02:21:56.000,6724.262290
2018:05:21:02:31:56.000,6338.281546
2018:05:21:02:41:56.000,5940.668724
2018:05:21:02:51:56.000,5532.005928
2018:05:21:03:01:56.000,5113.570407
2018:05:21:03:11:56.000,4687.837255
2018:05:21:03:21:56.000,4259.372152
2018:05:21:03:31:56.000,3836.432503
2018:05:21:03:41:56.000,3433.795146
2018:05:21:03:51:56.000,3077.344962
2018:05:21:04:01:56.000,2809.548740
2018:05:21:04:08:49.451,2706.943038
2018:05:21:08:21:31.367,10800.766108
2018:05:21:08:31:31.000,11047.214841
2018:05:21:08:41:31.000,11286.193743
2018:05:21:08:51:31.000,11517.712019
2018:05:21:09:01:31.000,11741.926705
2018:05:21:09:11:31.000,11958.989075
2018:05:21:09:21:31.000,12169.044297
2018:05:21:09:31:31.000,12372.231275
2018:05:21:09:41:31.000,12568.682615
2018:05:21:09:51:31.000,12758.524674
2018:05:21:10:01:31.000,12941.877683
2018:05:21:10:11:31.000,13118.855898
2018:05:21:10:21:31.000,13289.567788
2018:05:21:10:31:31.000,13454.116236
2018:05:21:10:41:31.000,13612.598747
2018:05:21:10:51:31.000,13765.107659
2018:05:21:11:01:31.000,13911.730352
2018:05:21:11:11:31.000,14052.549455
2018:05:21:11:21:31.000,14187.643042
2018:05:21:11:31:31.000,14317.084826
2018:05:21:11:41:31.000,14440.944335
2018:05:21:11:51:31.000,14559.287088
2018:05:21:12:01:31.000,14672.174758
2018:05:21:12:11:31.000,14779.665321
2018:05:21:12:21:31.000,14881.813205
2018:05:21:12:31:31.000,14978.669417
2018:05:21:12:41:31.000,15070.281674
2018:05:21:12:51:31.000,15156.694517
2018:05:21:13:01:31.000,15237.949415
2018:05:21:13:11:31.000,15314.084870
2018:05:21:13:21:31.000,15385.136504
2018:05:21:13:31:31.000,15451.137146
2018:05:21:13:41:31.000,15512.116903
2018:05:21:13:51:31.000,15568.103239
2018:05:21:14:01:31.000,15619.121027
2018:05:21:14:11:31.000,15665.192614
2018:05:21:14:21:31.000,15706.337864
2018:05:21:14:31:31.000,15742.574209
2018:05:21:14:41:31.000,15773.916680
2018:05:21:14:51:31.000,15800.377944
2018:05:21:15:01:31.000,15821.968329
2018:05:21:15:11:31.000,15838.695844
2018:05:21:15:21:31.000,15850.566198
2018:05:21:15:31:31.000,15857.582804
2018:05:21:15:41:31.000,15859.746789
2018:05:21:15:51:31.000,15857.056992
2018:05:21:16:01:31.000,15849.509956
2018:05:21:16:11:31.000,15837.099917
2018:05:21:16:21:31.000,15819.818789
2018:05:21:16:31:31.000,15797.656135
2018:05:21:16:41:31.000,15770.599144
2018:05:21:16:51:31.000,15738.632593
2018:05:21:17:01:31.000,15701.738805
2018:05:21:17:11:31.000,15659.897603
2018:05:21:17:21:31.000,15613.086253
2018:05:21:17:31:31.000,15561.279403
2018:05:21:17:41:31.000,15504.449012
2018:05:21:17:51:31.000,15442.564275
2018:05:21:18:01:31.000,15375.591532
2018:05:21:18:11:31.000,15303.494178
2018:05:21:18:21:31.000,15226.232553
2018:05:21:18:31:31.000,15143.763828
2018:05:21:18:41:31.000,15056.041880
2018:05:21:18:51:31.000,14963.017149
2018:05:21:19:01:31.000,14864.636489
2018:05:21:19:11:31.000,14760.843000
2018:05:21:19:21:31.000,14651.575846
2018:05:21:19:31:31.000,14536.770057
2018:05:21:19:41:31.000,14416.356310
2018:05:21:19:51:31.000,14290.260693
2018:05:21:20:01:31.000,14158.404447
2018:05:21:20:11:31.000,14020.703681
2018:05:21:20:21:31.000,13877.069061
2018:05:21:20:31:31.000,13727.405474
2018:05:21:20:41:31.000,13571.611652
2018:05:21:20:51:31.000,13409.579773
2018:05:21:21:01:31.000,13241.195009
2018:05:21:21:11:31.000,13066.335038
2018:05:21:21:21:31.000,12884.869514
2018:05:21:21:31:31.000,12696.659472
2018:05:21:21:41:31.000,12501.556686
2018:05:21:21:51:31.000,12299.402963
2018:05:21:22:01:31.000,12090.029358
2018:05:21:22:11:31.000,11873.255331
2018:05:21:22:21:31.000,11648.887806
2018:05:21:22:31:31.000,11416.720159
2018:05:21:22:41:31.000,11176.531103
2018:05:21:22:51:31.000,10928.083495
2018:05:21:23:01:31.000,10671.123043
2018:05:21:23:11:31.000,10405.376944
2018:05:21:23:21:31.000,10130.552463
2018:05:21:23:31:31.000,9846.335502
2018:05:21:23:41:31.000,9552.389227
2018:05:21:23:51:31.000,9248.352872
2018:05:22:00:01:31.000,8933.840933
2018:05:22:00:11:31.000,8608.443067
2018:05:22:00:21:31.000,8271.725248
2018:05:22:00:31:31.000,7923.233061
2018:05:22:00:41:31.000,7562.498619
2018:05:22:00:51:31.000,7189.053604
2018:05:22:01:01:31.000,6802.452695
2018:05:22:01:11:31.000,6402.314906
2018:05:22:01:21:31.000,5988.396267
2018:05:22:01:31:31.000,5560.718679
2018:05:22:01:41:31.000,5119.802124
2018:05:22:01:51:31.000,4667.092852
2018:05:22:02:01:31.000,4205.774677
2018:05:22:02:11:31.000,3742.348158
2018:05:22:02:21:31.000,3289.752537
2018:05:22:02:31:31.000,2873.376711
2018:05:22:02:41:31.000,2540.878487
2018:05:22:02:51:31.000,2369.060045
2018:05:22:02:54:27.396,2361.930794
2018:05:22:09:02:49.226,13644.635406
2018:05:22:09:12:49.000,13807.857929
2018:05:22:09:22:49.000,13965.049622
2018:05:22:09:32:49.000,14116.243419
2018:05:22:09:42:49.000,14261.529588
2018:05:22:09:52:49.000,14400.993219
2018:05:22:10:02:49.000,14534.714477
2018:05:22:10:12:49.000,14662.768845
2018:05:22:10:22:49.000,14785.227348
2018:05:22:10:32:49.000,14902.156760
2018:05:22:10:42:49.000,15013.619796
2018:05:22:10:52:49.000,15119.675294
2018:05:22:11:02:49.000,15220.378374
2018:05:22:11:12:49.000,15315.780600
2018:05:22:11:22:49.000,15405.930110
2018:05:22:11:32:49.000,15490.871755
2018:05:22:11:42:49.000,15570.647214
2018:05:22:11:52:49.000,15645.295103
2018:05:22:12:02:49.000,15714.851077
2018:05:22:12:12:49.000,15779.347920
2018:05:22:12:22:49.000,15838.815626
2018:05:22:12:32:49.000,15893.281478
2018:05:22:12:42:49.000,15942.770113
2018:05:22:12:52:49.000,15987.303578
2018:05:22:13:02:49.000,16026.901391
2018:05:22:13:12:49.000,16061.580581
2018:05:22:13:22:49.000,16091.355732
2018:05:22:13:32:49.000,16116.239011
2018:05:22:13:42:49.000,16136.240202
2018:05:22:13:52:49.000,16151.366724
2018:05:22:14:02:49.000,16161.623647
2018:05:22:14:12:49.000,16167.013702
2018:05:22:14:22:49.000,16167.537284
2018:05:22:14:32:49.000,16163.192455
2018:05:22:14:42:49.000,16153.974928
2018:05:22:14:52:49.000,16139.878061
2018:05:22:15:02:49.000,16120.892835
2018:05:22:15:12:49.000,16097.007825
2018:05:22:15:22:49.000,16068.209175
2018:05:22:15:32:49.000,16034.480554
2018:05:22:15:42:49.000,15995.803114
2018:05:22:15:52:49.000,15952.155434
2018:05:22:16:02:49.000,15903.513466
2018:05:22:16:12:49.000,15849.850464
2018:05:22:16:22:49.000,15791.136909
2018:05:22:16:32:49.000,15727.340424
2018:05:22:16:42:49.000,15658.425684
2018:05:22:16:52:49.000,15584.354309
2018:05:22:17:02:49.000,15505.084750
