"Time (YYYY:MM:DD)","Range (km)","Elevation (deg)","Azimuth (deg)"
2018:05:18:09:43:13.000,2448.695385,-55.122,298.834
2018:05:18:09:44:13.000,2428.118992,-55.137,297.899
2018:05:18:09:45:13.000,2408.186538,-55.158,296.932
2018:05:18:09:46:13.000,2388.926689,-55.183,295.934
2018:05:18:09:47:13.000,2370.367959,-55.212,294.904
2018:05:18:09:48:13.000,2352.538616,-55.245,293.844
2018:05:18:09:49:13.000,2335.466576,-55.282,292.752
2018:05:18:09:50:13.000,2319.179293,-55.322,291.629
2018:05:18:09:51:13.000,2303.703645,-55.363,290.477
2018:05:18:09:52:13.000,2289.065811,-55.406,289.295
2018:05:18:09:53:13.000,2275.291149,-55.450,288.084
2018:05:18:09:54:13.000,2262.404066,-55.494,286.846
2018:05:18:09:55:13.000,2250.427890,-55.538,285.581
2018:05:18:09:56:13.000,2239.384741,-55.581,284.292
2018:05:18:09:57:13.000,2229.295400,-55.622,282.978
2018:05:18:09:58:13.000,2220.179185,-55.660,281.643
2018:05:18:09:59:13.000,2212.053828,-55.696,280.288
2018:05:18:10:00:13.000,2204.935364,-55.729,278.915
2018:05:18:10:01:13.000,2198.838018,-55.757,277.526
2018:05:18:10:02:13.000,2193.774109,-55.782,276.123
2018:05:18:10:03:13.000,2189.753968,-55.801,274.709
2018:05:18:10:04:13.000,2186.785855,-55.816,273.286
2018:05:18:10:05:13.000,2184.875909,-55.826,271.857
2018:05:18:10:06:13.000,2184.028094,-55.830,270.425
2018:05:18:10:07:13.000,2184.244174,-55.829,268.992
2018:05:18:10:08:13.000,2185.523700,-55.822,267.561
2018:05:18:10:09:13.000,2187.864013,-55.811,266.134
2018:05:18:10:10:13.000,2191.260262,-55.794,264.715
2018:05:18:10:11:13.000,2195.705441,-55.772,263.305
2018:05:18:10:12:13.000,2201.190442,-55.746,261.907
2018:05:18:10:13:13.000,2207.704118,-55.716,260.524
2018:05:18:10:14:13.000,2215.233364,-55.682,259.158
2018:05:18:10:15:13.000,2223.763210,-55.645,257.811
2018:05:18:10:16:13.000,2233.276920,-55.605,256.484
2018:05:18:10:17:13.000,2243.756103,-55.563,255.180
2018:05:18:10:18:13.000,2255.180832,-55.520,253.901
2018:05:18:10:19:13.000,2267.529768,-55.476,252.647
2018:05:18:10:20:13.000,2280.780286,-55.432,251.420
2018:05:18:10:21:13.000,2294.908605,-55.388,250.220
2018:05:18:10:22:13.000,2309.889915,-55.346,249.050
2018:05:18:10:23:13.000,2325.698511,-55.305,247.910
2018:05:18:10:24:13.000,2342.307916,-55.267,246.800
2018:05:18:10:25:13.000,2359.691002,-55.231,245.721
2018:05:18:10:26:13.000,2377.820117,-55.200,244.672
2018:05:18:10:27:13.000,2396.667187,-55.172,243.656
2018:05:18:10:28:13.000,2416.203834,-55.149,242.671
2018:05:18:10:29:13.000,2436.401470,-55.131,241.717
2018:05:18:10:30:13.000,2457.231395,-55.118,240.794
2018:05:18:10:31:13.000,2478.664881,-55.111,239.903
2018:05:18:10:31:47.995,2491.433321,-55.110,239.398
2018:05:18:13:53:10.879,2491.432588,-55.110,300.607
2018:05:18:13:54:10.000,2469.971680,-55.113,299.747
2018:05:18:13:55:10.000,2448.774000,-55.122,298.843
2018:05:18:13:56:10.000,2428.191360,-55.137,297.908
2018:05:18:13:57:10.000,2408.252491,-55.157,296.942
2018:05:18:13:58:10.000,2388.986062,-55.183,295.944
2018:05:18:13:59:10.000,2370.420594,-55.212,294.914
2018:05:18:14:00:10.000,2352.584361,-55.245,293.854
2018:05:18:14:01:10.000,2335.505284,-55.282,292.762
2018:05:18:14:02:10.000,2319.210828,-55.321,291.640
2018:05:18:14:03:10.000,2303.727877,-55.363,290.487
2018:05:18:14:04:10.000,2289.082622,-55.406,289.305
2018:05:18:14:05:10.000,2275.300430,-55.450,288.095
2018:05:18:14:06:10.000,2262.405719,-55.494,286.857
2018:05:18:14:07:10.000,2250.421832,-55.538,285.592
2018:05:18:14:08:10.000,2239.370898,-55.581,284.303
2018:05:18:14:09:10.000,2229.273715,-55.622,282.989
2018:05:18:14:10:10.000,2220.149613,-55.660,281.654
2018:05:18:14:11:10.000,2212.016342,-55.696,280.299
2018:05:18:14:12:10.000,2204.889949,-55.729,278.926
2018:05:18:14:13:10.000,2198.784677,-55.758,277.536
2018:05:18:14:14:10.000,2193.712861,-55.782,276.134
2018:05:18:14:15:10.000,2189.684848,-55.802,274.719
2018:05:18:14:16:10.000,2186.708916,-55.816,273.297
2018:05:18:14:17:10.000,2184.791218,-55.826,271.868
2018:05:18:14:18:10.000,2183.935737,-55.830,270.435
2018:05:18:14:19:10.000,2184.144251,-55.829,269.002
2018:05:18:14:20:10.000,2185.416329,-55.823,267.571
2018:05:18:14:21:10.000,2187.749325,-55.811,266.144
2018:05:18:14:22:10.000,2191.138403,-55.795,264.724
2018:05:18:14:23:10.000,2195.576571,-55.773,263.314
2018:05:18:14:24:10.000,2201.054734,-55.747,261.916
2018:05:18:14:25:10.000,2207.561757,-55.717,260.533
2018:05:18:14:26:10.000,2215.084548,-55.683,259.167
2018:05:18:14:27:10.000,2223.608144,-55.646,257.819
2018:05:18:14:28:10.000,2233.115819,-55.606,256.492
2018:05:18:14:29:10.000,2243.589190,-55.564,255.188
2018:05:18:14:30:10.000,2255.008338,-55.521,253.908
2018:05:18:14:31:10.000,2267.351928,-55.477,252.654
2018:05:18:14:32:10.000,2280.597341,-55.433,251.426
2018:05:18:14:33:10.000,2294.720799,-55.389,250.227
2018:05:18:14:34:10.000,2309.697496,-55.347,249.056
2018:05:18:14:35:10.000,2325.501727,-55.306,247.916
2018:05:18:14:36:10.000,2342.107016,-55.267,246.805
2018:05:18:14:37:10.000,2359.486237,-55.232,245.726
2018:05:18:14:38:10.000,2377.611733,-55.200,244.677
2018:05:18:14:39:10.000,2396.455433,-55.172,243.660
2018:05:18:14:40:10.000,2415.988954,-55.149,242.675
2018:05:18:14:41:10.000,2436.183706,-55.131,241.721
2018:05:18:14:42:10.000,2457.010985,-55.118,240.798
