"Time (YYYY:MM:DD)","Range (km)","Elevation (deg)","Azimuth (deg)"
2018:05:17:15:32:33.000,3458.440779,-64.677,236.044
2018:05:17:15:33:33.000,3474.186172,-64.650,235.575
2018:05:17:15:34:33.000,3490.133665,-64.624,235.118
2018:05:17:15:35:33.000,3506.276333,-64.602,234.674
2018:05:17:15:36:33.000,3522.607280,-64.581,234.241
2018:05:17:15:37:33.000,3539.119632,-64.563,233.820
2018:05:17:15:38:33.000,3555.806552,-64.548,233.411
2018:05:17:15:39:33.000,3572.661236,-64.536,233.013
2018:05:17:15:40:33.000,3589.676919,-64.526,232.626
2018:05:17:15:41:33.000,3606.846881,-64.518,232.251
2018:05:17:15:42:33.000,3624.164446,-64.514,231.886
2018:05:17:15:43:33.000,3641.622985,-64.512,231.533
2018:05:17:15:43:42.679,3644.452012,-64.512,231.477
2018:05:17:20:17:59.887,3644.452949,-64.512,308.529
2018:05:17:20:18:59.000,3627.227209,-64.513,308.182
2018:05:17:20:19:59.000,3609.881752,-64.517,307.820
2018:05:17:20:20:59.000,3592.682685,-64.524,307.446
2018:05:17:20:21:59.000,3575.636676,-64.534,307.062
2018:05:17:20:22:59.000,3558.750439,-64.546,306.666
2018:05:17:20:23:59.000,3542.030732,-64.561,306.258
2018:05:17:20:24:59.000,3525.484352,-64.578,305.840
2018:05:17:20:25:59.000,3509.118134,-64.598,305.409
2018:05:17:20:26:59.000,3492.938944,-64.620,304.967
2018:05:17:20:27:59.000,3476.953679,-64.645,304.512
2018:05:17:20:28:59.000,3461.169256,-64.672,304.046
2018:05:17:20:29:59.000,3445.592617,-64.702,303.567
2018:05:17:20:30:59.000,3430.230716,-64.733,303.076
2018:05:17:20:31:59.000,3415.090518,-64.767,302.572
2018:05:17:20:32:59.000,3400.178993,-64.803,302.056
2018:05:17:20:33:59.000,3385.503109,-64.840,301.527
2018:05:17:20:34:59.000,3371.069830,-64.880,300.985
2018:05:17:20:35:59.000,3356.886104,-64.921,300.430
2018:05:17:20:36:59.000,3342.958862,-64.964,299.862
2018:05:17:20:37:59.000,3329.295008,-65.008,299.281
2018:05:17:20:38:59.000,3315.901413,-65.054,298.687
2018:05:17:20:39:59.000,3302.784910,-65.101,298.080
2018:05:17:20:40:59.000,3289.952282,-65.149,297.459
2018:05:17:20:41:59.000,3277.410258,-65.198,296.825
2018:05:17:20:42:59.000,3265.165505,-65.248,296.177
2018:05:17:20:43:59.000,3253.224617,-65.299,295.517
2018:05:17:20:44:59.000,3241.594110,-65.350,294.843
2018:05:17:20:45:59.000,3230.280412,-65.402,294.156
2018:05:17:20:46:59.000,3219.289853,-65.454,293.455
2018:05:17:20:47:59.000,3208.628659,-65.506,292.742
2018:05:17:20:48:59.000,3198.302942,-65.558,292.016
2018:05:17:20:49:59.000,3188.318690,-65.610,291.277
2018:05:17:20:50:59.000,3178.681758,-65.661,290.525
2018:05:17:20:51:59.000,3169.397861,-65.712,289.761
2018:05:17:20:52:59.000,3160.472561,-65.763,288.984
2018:05:17:20:53:59.000,3151.911263,-65.812,288.196
2018:05:17:20:54:59.000,3143.719200,-65.860,287.396
2018:05:17:20:55:59.000,3135.901430,-65.907,286.584
2018:05:17:20:56:59.000,3128.462822,-65.953,285.761
2018:05:17:20:57:59.000,3121.408050,-65.997,284.928
2018:05:17:20:58:59.000,3114.741583,-66.040,284.084
2018:05:17:20:59:59.000,3108.467680,-66.081,283.231
2018:05:17:21:00:59.000,3102.590375,-66.120,282.368
2018:05:17:21:01:59.000,3097.113478,-66.156,281.496
2018:05:17:21:02:59.000,3092.040559,-66.191,280.616
2018:05:17:21:03:59.000,3087.374949,-66.223,279.728
2018:05:17:21:04:59.000,3083.119725,-66.253,278.833
2018:05:17:21:05:59.000,3079.277711,-66.280,277.931
2018:05:17:21:06:59.000,3075.851467,-66.304,277.023
2018:05:17:21:07:59.000,3072.843287,-66.326,276.109
2018:05:17:21:08:59.000,3070.255193,-66.344,275.191
2018:05:17:21:09:59.000,3068.088927,-66.360,274.269
2018:05:17:21:10:59.000,3066.345956,-66.373,273.344
2018:05:17:21:11:59.000,3065.027461,-66.382,272.415
2018:05:17:21:12:59.000,3064.134336,-66.389,271.485
2018:05:17:21:13:59.000,3063.667188,-66.392,270.554
2018:05:17:21:14:59.000,3063.626336,-66.393,269.623
2018:05:17:21:15:59.000,3064.011807,-66.390,268.691
2018:05:17:21:16:59.000,3064.823340,-66.384,267.761
2018:05:17:21:17:59.000,3066.060384,-66.375,266.832
2018:05:17:21:18:59.000,3067.722097,-66.363,265.906
2018:05:17:21:19:59.000,3069.807356,-66.347,264.983
2018:05:17:21:20:59.000,3072.314749,-66.329,264.064
2018:05:17:21:21:59.000,3075.242586,-66.308,263.150
2018:05:17:21:22:59.000,3078.588898,-66.285,262.241
2018:05:17:21:23:59.000,3082.351445,-66.258,261.338
2018:05:17:21:24:59.000,3086.527717,-66.229,260.441
2018:05:17:21:25:59.000,3091.114941,-66.197,259.552
2018:05:17:21:26:59.000,3096.110087,-66.163,258.670
2018:05:17:21:27:59.000,3101.509875,-66.127,257.796
2018:05:17:21:28:59.000,3107.310779,-66.088,256.932
2018:05:17:21:29:59.000,3113.509035,-66.048,256.077
2018:05:17:21:30:59.000,3120.100652,-66.006,255.231
2018:05:17:21:31:59.000,3127.081413,-65.962,254.396
2018:05:17:21:32:59.000,3134.446891,-65.916,253.571
2018:05:17:21:33:59.000,3142.192449,-65.869,252.757
2018:05:17:21:34:59.000,3150.313255,-65.821,251.955
2018:05:17:21:35:59.000,3158.804288,-65.772,251.164
2018:05:17:21:36:59.000,3167.660347,-65.722,250.385
2018:05:17:21:37:59.000,3176.876060,-65.671,249.619
2018:05:17:21:38:59.000,3186.445896,-65.620,248.864
2018:05:17:21:39:59.000,3196.364167,-65.568,248.123
2018:05:17:21:40:59.000,3206.625044,-65.516,247.394
2018:05:17:21:41:59.000,3217.222566,-65.464,246.678
2018:05:17:21:42:59.000,3228.150643,-65.412,245.975
2018:05:17:21:43:59.000,3239.403071,-65.360,245.286
2018:05:17:21:44:59.000,3250.973538,-65.309,244.609
2018:05:17:21:45:59.000,3262.855636,-65.258,243.946
2018:05:17:21:46:59.000,3275.042865,-65.208,243.296
2018:05:17:21:47:59.000,3287.528644,-65.158,242.660
2018:05:17:21:48:59.000,3300.306322,-65.110,242.036
2018:05:17:21:49:59.000,3313.369179,-65.063,241.426
2018:05:17:21:50:59.000,3326.710443,-65.017,240.830
2018:05:17:21:51:59.000,3340.323290,-64.972,240.246
2018:05:17:21:52:59.000,3354.200855,-64.929,239.676
2018:05:17:21:53:59.000,3368.336241,-64.888,239.118
2018:05:17:21:54:59.000,3382.722522,-64.848,238.574
2018:05:17:21:55:59.000,3397.352751,-64.810,238.042
2018:05:17:21:56:59.000,3412.219968,-64.774,237.524
2018:05:17:21:57:59.000,3427.317205,-64.740,237.018
2018:05:17:21:58:59.000,3442.637492,-64.708,236.524
2018:05:17:21:59:59.000,3458.173863,-64.678,236.043
2018:05:17:22:00:59.000,3473.919360,-64.650,235.574
2018:05:17:22:01:59.000,3489.867040,-64.625,235.117
2018:05:17:22:02:59.000,3506.009981,-64.602,234.673
2018:05:17:22:03:59.000,3522.341280,-64.582,234.240
2018:05:17:22:04:59.000,3538.854065,-64.564,233.819
2018:05:17:22:05:59.000,3555.541496,-64.548,233.409
2018:05:17:22:06:59.000,3572.396768,-64.536,233.011
2018:05:17:22:07:59.000,3589.413116,-64.526,232.624
2018:05:17:22:08:59.000,3606.583815,-64.518,232.249
2018:05:17:22:09:59.000,3623.902190,-64.514,231.884
2018:05:17:22:10:59.000,3641.361610,-64.512,231.530
2018:05:17:22:11:09.576,3644.453174,-64.512,231.469
2018:05:18:02:45:26.194,3644.452061,-64.512,308.536
2018:05:18:02:46:26.000,3627.022379,-64.513,308.185
2018:05:18:02:47:26.000,3609.675792,-64.517,307.823
2018:05:18:02:48:26.000,3592.475648,-64.524,307.449
2018:05:18:02:49:26.000,3575.428617,-64.534,307.064
2018:05:18:02:50:26.000,3558.541413,-64.546,306.668
2018:05:18:02:51:26.000,3541.820796,-64.561,306.261
2018:05:18:02:52:26.000,3525.273565,-64.578,305.842
2018:05:18:02:53:26.000,3508.906555,-64.598,305.411
2018:05:18:02:54:26.000,3492.726635,-64.621,304.969
2018:05:18:02:55:26.000,3476.740700,-64.645,304.514
2018:05:18:02:56:26.000,3460.955672,-64.673,304.048
2018:05:18:02:57:26.000,3445.378493,-64.702,303.569
2018:05:18:02:58:26.000,3430.016118,-64.734,303.078
2018:05:18:02:59:26.000,3414.875513,-64.767,302.574
2018:05:18:03:00:26.000,3399.963650,-64.803,302.057
2018:05:18:03:01:26.000,3385.287499,-64.841,301.528
2018:05:18:03:02:26.000,3370.854024,-64.880,300.986
2018:05:18:03:03:26.000,3356.670174,-64.922,300.431
2018:05:18:03:04:26.000,3342.742881,-64.965,299.863
2018:05:18:03:05:26.000,3329.079052,-65.009,299.282
2018:05:18:03:06:26.000,3315.685557,-65.055,298.688
2018:05:18:03:07:26.000,3302.569232,-65.102,298.080
2018:05:18:03:08:26.000,3289.736859,-65.150,297.459
2018:05:18:03:09:26.000,3277.195170,-65.199,296.825
2018:05:18:03:10:26.000,3264.950831,-65.249,296.177
2018:05:18:03:11:26.000,3253.010439,-65.300,295.517
2018:05:18:03:12:26.000,3241.380509,-65.351,294.842
2018:05:18:03:13:26.000,3230.067470,-65.403,294.155
2018:05:18:03:14:26.000,3219.077654,-65.455,293.455
2018:05:18:03:15:26.000,3208.417287,-65.507,292.741
2018:05:18:03:16:26.000,3198.092481,-65.559,292.015
2018:05:18:03:17:26.000,3188.109225,-65.611,291.275
2018:05:18:03:18:26.000,3178.473375,-65.662,290.523
2018:05:18:03:19:26.000,3169.190645,-65.713,289.759
2018:05:18:03:20:26.000,3160.266599,-65.764,288.982
2018:05:18:03:21:26.000,3151.706640,-65.813,288.193
2018:05:18:03:22:26.000,3143.516003,-65.861,287.393
2018:05:18:03:23:26.000,3135.699745,-65.909,286.581
2018:05:18:03:24:26.000,3128.262735,-65.954,285.758
2018:05:18:03:25:26.000,3121.209646,-65.999,284.925
2018:05:18:03:26:26.000,3114.544949,-66.041,284.081
2018:05:18:03:27:26.000,3108.272899,-66.082,283.227
2018:05:18:03:28:26.000,3102.397533,-66.121,282.364
2018:05:18:03:29:26.000,3096.922658,-66.158,281.492
2018:05:18:03:30:26.000,3091.851845,-66.192,280.612
2018:05:18:03:31:26.000,3087.188422,-66.224,279.724
2018:05:18:03:32:26.000,3082.935468,-66.254,278.828
2018:05:18:03:33:26.000,3079.095803,-66.281,277.926
2018:05:18:03:34:26.000,3075.671987,-66.305,277.018
2018:05:18:03:35:26.000,3072.666313,-66.327,276.104
2018:05:18:03:36:26.000,3070.080800,-66.345,275.186
2018:05:18:03:37:26.000,3067.917192,-66.361,274.263
2018:05:18:03:38:26.000,3066.176951,-66.374,273.338
2018:05:18:03:39:26.000,3064.861257,-66.383,272.409
2018:05:18:03:40:26.000,3063.971003,-66.390,271.479
2018:05:18:03:41:26.000,3063.506794,-66.393,270.548
2018:05:18:03:42:26.000,3063.468947,-66.394,269.616
2018:05:18:03:43:26.000,3063.857487,-66.391,268.684
2018:05:18:03:44:26.000,3064.672150,-66.385,267.754
2018:05:18:03:45:26.000,3065.912383,-66.376,266.825
2018:05:18:03:46:26.000,3067.577344,-66.364,265.899
2018:05:18:03:47:26.000,3069.665904,-66.348,264.976
2018:05:18:03:48:26.000,3072.176651,-66.330,264.057
2018:05:18:03:49:26.000,3075.107891,-66.309,263.142
2018:05:18:03:50:26.000,3078.457655,-66.285,262.233
2018:05:18:03:51:26.000,3082.223698,-66.259,261.330
2018:05:18:03:52:26.000,3086.403509,-66.230,260.433
2018:05:18:03:53:26.000,3090.994311,-66.198,259.543
2018:05:18:03:54:26.000,3095.993073,-66.164,258.662
2018:05:18:03:55:26.000,3101.396511,-66.128,257.788
2018:05:18:03:56:26.000,3107.201096,-66.089,256.923
2018:05:18:03:57:26.000,3113.403064,-66.049,256.068
2018:05:18:03:58:26.000,3119.998418,-66.006,255.222
2018:05:18:03:59:26.000,3126.982941,-65.962,254.387
2018:05:18:04:00:26.000,3134.352201,-65.917,253.562
2018:05:18:04:01:26.000,3142.101560,-65.870,252.748
2018:05:18:04:02:26.000,3150.226183,-65.822,251.946
2018:05:18:04:03:26.000,3158.721047,-65.773,251.155
2018:05:18:04:04:26.000,3167.580947,-65.722,250.376
2018:05:18:04:05:26.000,3176.800511,-65.672,249.610
2018:05:18:04:06:26.000,3186.374202,-65.620,248.855
2018:05:18:04:07:26.000,3196.296332,-65.568,248.114
2018:05:18:04:08:26.000,3206.561070,-65.516,247.385
2018:05:18:04:09:26.000,3217.162451,-65.464,246.669
2018:05:18:04:10:26.000,3228.094384,-65.412,245.966
2018:05:18:04:11:26.000,3239.350662,-65.360,245.277
2018:05:18:04:12:26.000,3250.924971,-65.309,244.600
2018:05:18:04:13:26.000,3262.810901,-65.258,243.937
2018:05:18:04:14:26.000,3275.001950,-65.208,243.287
2018:05:18:04:15:26.000,3287.491535,-65.158,242.651
2018:05:18:04:16:26.000,3300.273003,-65.110,242.027
2018:05:18:04:17:26.000,3313.339632,-65.063,241.417
2018:05:18:04:18:26.000,3326.684649,-65.017,240.821
2018:05:18:04:19:26.000,3340.301227,-64.972,240.237
2018:05:18:04:20:26.000,3354.182501,-64.929,239.667
2018:05:18:04:21:26.000,3368.321571,-64.888,239.109
2018:05:18:04:22:26.000,3382.711510,-64.848,238.565
2018:05:18:04:23:26.000,3397.345369,-64.810,238.034
2018:05:18:04:24:26.000,3412.216188,-64.774,237.515
2018:05:18:04:25:26.000,3427.316996,-64.740,237.009
2018:05:18:04:26:26.000,3442.640823,-64.707,236.515
2018:05:18:04:27:26.000,3458.180701,-64.678,236.034
2018:05:18:04:28:26.000,3473.929672,-64.650,235.566
2018:05:18:04:29:26.000,3489.880791,-64.625,235.109
2018:05:18:04:30:26.000,3506.027134,-64.602,234.664
2018:05:18:04:31:26.000,3522.361799,-64.582,234.232
2018:05:18:04:32:26.000,3538.877912,-64.564,233.811
2018:05:18:04:33:26.000,3555.568633,-64.548,233.401
2018:05:18:04:34:26.000,3572.427155,-64.536,233.003
2018:05:18:04:35:26.000,3589.446712,-64.526,232.616
2018:05:18:04:36:26.000,3606.620581,-64.518,232.241
2018:05:18:04:37:26.000,3623.942083,-64.514,231.876
2018:05:18:04:38:26.000,3641.404589,-64.512,231.522
2018:05:18:04:38:36.423,3644.452062,-64.512,231.462
2018:05:18:09:12:52.492,3644.453165,-64.512,308.543
2018:05:18:09:13:52.000,3627.107373,-64.513,308.194
2018:05:18:09:14:52.000,3609.757473,-64.517,307.831
2018:05:18:09:15:52.000,3592.553960,-64.524,307.458
2018:05:18:09:16:52.000,3575.503504,-64.534,307.073
2018:05:18:09:17:52.000,3558.612821,-64.546,306.677
2018:05:18:09:18:52.000,3541.888671,-64.561,306.270
2018:05:18:09:19:52.000,3525.337853,-64.578,305.851
2018:05:18:09:20:52.000,3508.967203,-64.598,305.420
2018:05:18:09:21:52.000,3492.783591,-64.621,304.978
2018:05:18:09:22:52.000,3476.793913,-64.645,304.524
2018:05:18:09:23:52.000,3461.005092,-64.673,304.057
2018:05:18:09:24:52.000,3445.424069,-64.702,303.578
2018:05:18:09:25:52.000,3430.057802,-64.734,303.087
2018:05:18:09:26:52.000,3414.913259,-64.767,302.583
2018:05:18:09:27:52.000,3399.997411,-64.803,302.067
2018:05:18:09:28:52.000,3385.317229,-64.841,301.538
2018:05:18:09:29:52.000,3370.879679,-64.880,300.996
2018:05:18:09:30:52.000,3356.691713,-64.922,300.441
2018:05:18:09:31:52.000,3342.760263,-64.964,299.873
2018:05:18:09:32:52.000,3329.092237,-65.009,299.292
2018:05:18:09:33:52.000,3315.694509,-65.055,298.698
2018:05:18:09:34:52.000,3302.573913,-65.102,298.090
2018:05:18:09:35:52.000,3289.737235,-65.150,297.469
2018:05:18:09:36:52.000,3277.191209,-65.199,296.835
2018:05:18:09:37:52.000,3264.942503,-65.249,296.188
2018:05:18:09:38:52.000,3252.997715,-65.300,295.527
2018:05:18:09:39:52.000,3241.363363,-65.351,294.853
2018:05:18:09:40:52.000,3230.045878,-65.403,294.166
2018:05:18:09:41:52.000,3219.051594,-65.455,293.465
2018:05:18:09:42:52.000,3208.386739,-65.507,292.752
2018:05:18:09:43:52.000,3198.057429,-65.559,292.025
2018:05:18:09:44:52.000,3188.069653,-65.611,291.286
2018:05:18:09:45:52.000,3178.429271,-65.663,290.534
2018:05:18:09:46:52.000,3169.142000,-65.714,289.769
2018:05:18:09:47:52.000,3160.213406,-65.764,288.993
2018:05:18:09:48:52.000,3151.648895,-65.813,288.204
2018:05:18:09:49:52.000,3143.453705,-65.862,287.404
2018:05:18:09:50:52.000,3135.632895,-65.909,286.592
2018:05:18:09:51:52.000,3128.191338,-65.955,285.769
2018:05:18:09:52:52.000,3121.133710,-65.999,284.935
2018:05:18:09:53:52.000,3114.464483,-66.042,284.091
2018:05:18:09:54:52.000,3108.187918,-66.083,283.238
2018:05:18:09:55:52.000,3102.308053,-66.122,282.375
2018:05:18:09:56:52.000,3096.828698,-66.158,281.503
2018:05:18:09:57:52.000,3091.753428,-66.193,280.622
2018:05:18:09:58:52.000,3087.085575,-66.225,279.734
2018:05:18:09:59:52.000,3082.828218,-66.255,278.838
2018:05:18:10:00:52.000,3078.984182,-66.282,277.936
2018:05:18:10:01:52.000,3075.556032,-66.306,277.028
2018:05:18:10:02:52.000,3072.546060,-66.328,276.114
2018:05:18:10:03:52.000,3069.956291,-66.346,275.195
2018:05:18:10:04:52.000,3067.788471,-66.362,274.273
2018:05:18:10:05:52.000,3066.044066,-66.375,273.347
2018:05:18:10:06:52.000,3064.724257,-66.384,272.419
2018:05:18:10:07:52.000,3063.829941,-66.391,271.488
2018:05:18:10:08:52.000,3063.361726,-66.394,270.557
2018:05:18:10:09:52.000,3063.319931,-66.395,269.625
2018:05:18:10:10:52.000,3063.704585,-66.392,268.693
2018:05:18:10:11:52.000,3064.515425,-66.386,267.762
2018:05:18:10:12:52.000,3065.751902,-66.377,266.833
2018:05:18:10:13:52.000,3067.413174,-66.365,265.907
2018:05:18:10:14:52.000,3069.498117,-66.350,264.984
2018:05:18:10:15:52.000,3072.005321,-66.332,264.064
2018:05:18:10:16:52.000,3074.933093,-66.311,263.150
2018:05:18:10:17:52.000,3078.279466,-66.287,262.240
2018:05:18:10:18:52.000,3082.042197,-66.260,261.337
2018:05:18:10:19:52.000,3086.218777,-66.231,260.440
2018:05:18:10:20:52.000,3090.806432,-66.199,259.550
2018:05:18:10:21:52.000,3095.802131,-66.165,258.668
2018:05:18:10:22:52.000,3101.202591,-66.129,257.794
2018:05:18:10:23:52.000,3107.004286,-66.090,256.929
2018:05:18:10:24:52.000,3113.203452,-66.050,256.073
2018:05:18:10:25:52.000,3119.796094,-66.008,255.228
2018:05:18:10:26:52.000,3126.777995,-65.964,254.392
2018:05:18:10:27:52.000,3134.144725,-65.918,253.567
2018:05:18:10:28:52.000,3141.891646,-65.871,252.753
2018:05:18:10:29:52.000,3150.013924,-65.823,251.950
2018:05:18:10:30:52.000,3158.506535,-65.774,251.159
2018:05:18:10:31:52.000,3167.364277,-65.724,250.380
2018:05:18:10:32:52.000,3176.581776,-65.673,249.613
2018:05:18:10:33:52.000,3186.153497,-65.621,248.859
2018:05:18:10:34:52.000,3196.073751,-65.569,248.117
2018:05:18:10:35:52.000,3206.336708,-65.517,247.388
2018:05:18:10:36:52.000,3216.936401,-65.465,246.672
2018:05:18:10:37:52.000,3227.866739,-65.413,245.969
2018:05:18:10:38:52.000,3239.121517,-65.361,245.279
2018:05:18:10:39:52.000,3250.694420,-65.310,244.602
2018:05:18:10:40:52.000,3262.579036,-65.259,243.939
2018:05:18:10:41:52.000,3274.768862,-65.209,243.289
2018:05:18:10:42:52.000,3287.257317,-65.159,242.652
2018:05:18:10:43:52.000,3300.037745,-65.111,242.029
2018:05:18:10:44:52.000,3313.103425,-65.064,241.419
2018:05:18:10:45:52.000,3326.447581,-65.018,240.822
2018:05:18:10:46:52.000,3340.063388,-64.973,240.238
2018:05:18:10:47:52.000,3353.943978,-64.930,239.667
2018:05:18:10:48:52.000,3368.082450,-64.888,239.110
2018:05:18:10:49:52.000,3382.471876,-64.848,238.566
2018:05:18:10:50:52.000,3397.105307,-64.810,238.034
2018:05:18:10:51:52.000,3411.975781,-64.774,237.515
2018:05:18:10:52:52.000,3427.076326,-64.740,237.009
2018:05:18:10:53:52.000,3442.399971,-64.708,236.515
2018:05:18:10:54:52.000,3457.939747,-64.678,236.034
2018:05:18:10:55:52.000,3473.688694,-64.650,235.565
2018:05:18:10:56:52.000,3489.639867,-64.625,235.108
2018:05:18:10:57:52.000,3505.786339,-64.602,234.663
2018:05:18:10:58:52.000,3522.121207,-64.582,234.231
2018:05:18:10:59:52.000,3538.637598,-64.564,233.809
2018:05:18:11:00:52.000,3555.328668,-64.549,233.400
2018:05:18:11:01:52.000,3572.187609,-64.536,233.002
2018:05:18:11:02:52.000,3589.207655,-64.526,232.615
2018:05:18:11:03:52.000,3606.382081,-64.518,232.239
2018:05:18:11:04:52.000,3623.704207,-64.514,231.874
2018:05:18:11:05:52.000,3641.167401,-64.512,231.521
2018:05:18:11:06:03.233,3644.451966,-64.512,231.456
2018:05:18:15:40:18.797,3644.452009,-64.512,308.549
2018:05:18:15:41:18.000,3627.192664,-64.513,308.202
2018:05:18:15:42:18.000,3609.839655,-64.517,307.839
