"Time (YYYY:MM:DD)","Range (km)"
2018:06:04:21:26:27.629,4407.311988
2018:06:04:22:26:27.000,3232.120682
2018:06:04:23:26:27.000,3162.593969
2018:06:05:00:26:27.000,4283.152217
2018:06:05:00:32:00.079,4407.312106
2018:06:05:05:34:07.107,4407.312106
2018:06:05:06:34:07.000,3232.003812
2018:06:05:07:34:07.000,3162.694019
2018:06:05:08:34:07.000,4283.346079
2018:06:05:08:39:39.558,4407.311992
2018:06:05:13:41:46.592,4407.310378
2018:06:05:14:41:46.000,3232.111355
2018:06:05:15:41:46.000,3162.601793
2018:06:05:16:41:46.000,4283.167358
2018:06:05:16:47:19.038,4407.312086
2018:06:05:21:49:26.068,4407.312041
2018:06:05:22:49:26.000,3231.995052
2018:06:05:23:49:26.000,3162.701345
2018:06:06:00:49:26.000,4283.360258
2018:06:06:00:54:58.517,4407.311039
2018:06:06:05:57:05.550,4407.312106
2018:06:06:06:57:05.000,3232.103176
2018:06:06:07:57:05.000,3162.608603
2018:06:06:08:57:05.000,4283.180552
2018:06:06:09:02:38.003,4407.312106
2018:06:06:14:04:45.036,4407.311426
2018:06:06:15:04:45.000,3231.987466
2018:06:06:16:04:45.000,3162.707633
2018:06:06:17:04:45.000,4283.372450
2018:06:06:17:10:17.487,4407.312023
2018:06:06:22:12:24.519,4407.312098
2018:06:06:23:12:24.000,3232.096192
2018:06:07:00:12:24.000,3162.614358
2018:06:07:01:12:24.000,4283.191721
2018:06:07:01:17:56.973,4407.312106
2018:06:07:06:20:04.006,4407.312004
2018:06:07:07:20:04.000,3231.981105
2018:06:07:08:20:04.000,3162.712842
2018:06:07:09:20:04.000,4283.382564
2018:06:07:09:25:36.460,4407.311985
2018:06:07:14:27:43.494,4407.312106
2018:06:07:15:27:43.000,3232.090478
2018:06:07:16:27:43.000,3162.618993
2018:06:07:17:27:43.000,4283.200730
2018:06:07:17:33:15.948,4407.311981
2018:06:07:22:35:22.987,4407.310641
2018:06:07:23:35:22.000,3232.200232
2018:06:08:00:35:22.000,3162.524849
2018:06:08:01:35:22.000,4283.018280
2018:06:08:01:40:55.439,4407.312063
2018:06:08:06:43:02.475,4407.312066
2018:06:08:07:43:02.000,3232.086214
2018:06:08:08:43:02.000,3162.622345
2018:06:08:09:43:02.000,4283.207248
2018:06:08:09:48:34.927,4407.310607
2018:06:08:14:50:41.968,4407.311982
2018:06:08:15:50:41.000,3232.196817
2018:06:08:16:50:41.000,3162.527448
2018:06:08:17:50:41.000,4283.023328
2018:06:08:17:56:14.425,4407.312106
2018:06:08:22:58:21.464,4407.312047
2018:06:08:23:58:21.000,3232.083772
2018:06:09:00:58:21.000,3162.624082
2018:06:09:01:58:21.000,4283.210607
2018:06:09:02:03:53.922,4407.312002
2018:06:09:07:06:00.962,4407.312106
2018:06:09:08:06:00.000,3232.195508
2018:06:09:09:06:00.000,3162.528183
2018:06:09:10:06:00.000,4283.024718
2018:06:09:10:11:33.422,4407.312097
