"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2009:11:14:17:18:01.187,2009:11:16:23:53:17.175,196515.988
2009:11:17:00:30:34.732,2009:11:19:07:05:13.505,196478.773
2009:11:19:07:43:11.965,2009:11:21:14:17:11.404,196439.439
2009:11:21:14:55:53.758,2009:11:23:21:29:11.270,196397.512
2009:11:23:22:08:40.923,2009:11:26:04:41:13.451,196352.528
2009:11:26:05:21:34.199,2009:11:28:11:53:18.233,196304.034
2009:11:28:12:34:34.202,2009:11:30:19:05:25.802,196251.600
2009:11:30:19:47:41.325,2009:12:03:02:17:36.173,196194.848
2009:12:03:03:00:55.594,2009:12:05:09:29:49.180,196133.586
2009:12:05:10:14:16.607,2009:12:07:16:42:04.618,196068.011
2009:12:07:17:27:43.834,2009:12:09:23:54:22.448,195998.614
2009:12:10:00:41:17.076,2009:12:12:07:06:42.920,195925.844
2009:12:12:07:54:56.740,2009:12:14:14:19:06.574,195849.834
2009:12:14:15:08:43.844,2009:12:16:21:31:34.193,195770.348
2009:12:16:22:22:39.945,2009:12:19:04:44:06.746,195686.800
2009:12:19:05:36:46.990,2009:12:21:11:56:45.318,195598.328
2009:12:21:12:51:07.170,2009:12:23:19:09:31.085,195503.915
2009:12:23:20:05:42.836,2009:12:26:02:22:25.279,195402.443
2009:12:26:03:20:36.422,2009:12:28:09:35:29.140,195292.718
2009:12:28:10:35:50.295,2009:12:30:16:48:43.720,195173.426
2009:12:30:17:51:26.352,2010:01:02:00:02:09.654,195043.301
2010:01:02:01:07:25.501,2010:01:04:07:15:47.149,194901.648
2010:01:04:08:23:47.664,2010:01:06:14:29:36.442,194748.778
2010:01:06:15:40:32.771,2010:01:08:21:43:38.325,194585.554
2010:01:08:22:57:41.873,2010:01:11:04:57:54.386,194412.513
2010:01:11:06:15:17.584,2010:01:13:12:12:27.061,194229.478
2010:01:13:13:33:24.097,2010:01:15:19:27:19.672,194035.574
2010:01:15:20:52:07.193,2010:01:18:02:42:36.494,193829.302
2010:01:18:04:11:34.252,2010:01:20:09:58:22.819,193608.567
2010:01:20:11:31:54.265,2010:01:22:17:14:45.043,193370.778
2010:01:22:18:53:17.821,2010:01:25:00:31:50.689,193112.868
2010:01:25:02:15:56.978,2010:01:27:07:49:48.154,192831.176
2010:01:27:09:40:04.547,2010:01:29:15:08:45.843,192521.297
2010:01:29:17:05:52.250,2010:01:31:22:28:51.056,192178.807
2010:02:01:00:33:28.672,2010:02:03:05:50:10.231,191801.558
2010:02:03:08:02:59.993,2010:02:05:13:12:51.030,191391.037
2010:02:05:15:34:33.935,2010:02:07:20:37:04.380,190950.446
2010:02:07:23:08:23.115,2010:02:10:04:03:05.558,190482.443
2010:02:10:06:44:46.316,2010:02:12:11:31:15.077,189988.761
2010:02:12:14:24:09.301,2010:02:14:19:02:00.042,189470.741
2010:02:14:22:07:06.216,2010:02:17:02:35:55.834,188929.618
2010:02:17:05:54:21.138,2010:02:19:10:13:47.818,188366.679
2010:02:19:13:46:49.212,2010:02:21:17:56:32.558,187783.346
2010:02:21:21:45:36.604,2010:02:24:01:45:17.542,187180.938
2010:02:24:05:51:57.560,2010:02:26:09:41:16.676,186559.116
2010:02:26:14:07:05.033,2010:02:28:17:45:39.418,185914.385
2010:02:28:22:31:53.617,2010:03:03:01:59:19.421,185245.805
2010:03:03:07:06:46.363,2010:03:05:10:22:54.311,184567.948
2010:03:05:15:51:40.700,2010:03:07:18:56:53.523,183912.823
2010:03:08:00:46:23.476,2010:03:10:03:41:41.117,183317.642
2010:03:10:09:50:36.768,2010:03:12:12:37:32.433,182815.665
2010:03:12:19:03:55.993,2010:03:14:21:44:30.309,182434.316
2010:03:15:04:25:47.988,2010:03:17:07:02:22.082,182194.094
2010:03:17:13:55:28.857,2010:03:19:16:30:33.634,182104.777
2010:03:19:23:31:56.360,2010:03:22:02:07:56.297,182159.937
2010:03:22:09:13:34.099,2010:03:24:11:52:27.413,182333.313
2010:03:24:18:57:52.135,2010:03:26:21:40:51.585,182579.450
2010:03:27:04:41:14.944,2010:03:29:07:28:38.795,182843.851
2010:03:29:14:19:14.451,2010:03:31:17:10:45.871,183091.420
