"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2010:01:08:22:56:15.710,2010:01:08:22:57:41.873,86.164
2010:01:11:04:57:54.386,2010:01:11:04:58:40.739,46.353
2010:01:11:06:13:43.541,2010:01:11:06:15:17.584,94.043
2010:01:13:12:12:27.061,2010:01:13:12:13:18.239,51.178
2010:01:13:13:31:41.335,2010:01:13:13:33:24.097,102.762
2010:01:15:19:27:19.672,2010:01:15:19:28:16.320,56.648
2010:01:15:20:50:14.726,2010:01:15:20:52:07.193,112.466
2010:01:18:02:42:36.494,2010:01:18:02:43:39.392,62.897
2010:01:18:04:09:30.899,2010:01:18:04:11:34.252,123.353
2010:01:20:09:58:22.819,2010:01:20:09:59:32.929,70.110
2010:01:20:11:29:38.583,2010:01:20:11:31:54.265,135.682
2010:01:22:17:14:45.043,2010:01:22:17:16:03.564,78.521
2010:01:22:18:50:48.040,2010:01:22:18:53:17.821,149.781
2010:01:25:00:31:50.689,2010:01:25:00:33:19.111,88.422
2010:01:25:02:13:10.927,2010:01:25:02:15:56.978,166.052
2010:01:27:07:49:48.154,2010:01:27:07:51:28.328,100.173
2010:01:27:09:36:59.573,2010:01:27:09:40:04.547,184.974
2010:01:29:15:08:45.843,2010:01:29:15:10:40.010,114.167
2010:01:29:17:02:25.213,2010:01:29:17:05:52.250,207.037
2010:01:31:22:28:51.056,2010:01:31:22:31:01.848,130.792
2010:02:01:00:29:35.994,2010:02:01:00:33:28.672,232.679
2010:02:03:05:50:10.231,2010:02:03:05:52:40.638,150.407
2010:02:03:07:58:37.731,2010:02:03:08:02:59.993,262.262
2010:02:05:13:12:51.030,2010:02:05:13:15:44.421,173.392
2010:02:05:15:29:37.800,2010:02:05:15:34:33.935,296.134
2010:02:07:20:37:04.380,2010:02:07:20:40:24.609,200.228
2010:02:07:23:02:48.355,2010:02:07:23:08:23.115,334.759
2010:02:10:04:03:05.558,2010:02:10:04:06:57.097,231.539
2010:02:10:06:38:27.552,2010:02:10:06:44:46.316,378.764
2010:02:12:11:31:15.077,2010:02:12:11:35:43.224,268.147
2010:02:12:14:17:00.324,2010:02:12:14:24:09.301,428.977
2010:02:14:19:02:00.042,2010:02:14:19:07:11.170,311.128
2010:02:14:21:58:59.710,2010:02:14:22:07:06.216,486.506
2010:02:17:02:35:55.834,2010:02:17:02:41:57.731,361.897
2010:02:17:05:45:08.380,2010:02:17:05:54:21.138,552.758
2010:02:19:10:13:47.818,2010:02:19:10:20:50.055,422.237
2010:02:19:13:36:19.698,2010:02:19:13:46:49.212,629.514
2010:02:21:17:56:32.558,2010:02:21:18:04:46.957,494.399
2010:02:21:21:33:37.730,2010:02:21:21:45:36.604,718.874
2010:02:24:01:45:17.542,2010:02:24:01:54:58.561,581.019
2010:02:24:05:38:14.408,2010:02:24:05:51:57.560,823.152
2010:02:26:09:41:16.676,2010:02:26:09:52:41.547,684.871
2010:02:26:13:51:20.627,2010:02:26:14:07:05.033,944.406
2010:02:28:17:45:39.418,2010:02:28:17:59:07.660,808.242
2010:02:28:22:13:49.944,2010:02:28:22:31:53.617,1083.672
2010:03:03:01:59:19.421,2010:03:03:02:15:11.584,952.163
2010:03:03:06:46:06.197,2010:03:03:07:06:46.363,1240.166
2010:03:05:10:22:54.311,2010:03:05:10:41:30.359,1116.048
2010:03:05:15:28:09.512,2010:03:05:15:51:40.700,1411.188
2010:03:07:18:56:53.523,2010:03:07:19:18:31.185,1297.662
2010:03:08:00:19:51.164,2010:03:08:00:46:23.476,1592.311
2010:03:10:03:41:41.117,2010:03:10:04:06:34.016,1492.899
2010:03:10:09:20:59.415,2010:03:10:09:50:36.768,1777.353
2010:03:12:12:37:32.433,2010:03:12:13:05:47.747,1695.314
2010:03:12:18:31:17.867,2010:03:12:19:03:55.993,1958.126
2010:03:14:21:44:30.309,2010:03:14:22:16:06.074,1895.766
2010:03:15:03:50:23.635,2010:03:15:04:25:47.988,2124.353
2010:03:17:07:02:22.082,2010:03:17:07:37:04.493,2082.411
2010:03:17:13:17:44.934,2010:03:17:13:55:28.857,2263.922
2010:03:19:16:30:33.634,2010:03:19:17:07:54.833,2241.198
2010:03:19:22:52:32.685,2010:03:19:23:31:56.360,2363.675
2010:03:22:02:07:56.297,2010:03:22:02:47:13.486,2357.189
2010:03:22:08:33:23.021,2010:03:22:09:13:34.099,2411.078
2010:03:24:11:52:27.413,2010:03:24:12:32:44.504,2417.092
2010:03:24:18:17:55.161,2010:03:24:18:57:52.135,2396.974
2010:03:26:21:40:51.585,2010:03:26:22:21:04.298,2412.713
2010:03:27:04:02:35.938,2010:03:27:04:41:14.944,2319.007
2010:03:29:07:28:38.795,2010:03:29:08:07:43.107,2344.311
2010:03:29:13:42:50.429,2010:03:29:14:19:14.451,2184.022
2010:03:31:17:10:45.871,2010:03:31:17:47:47.588,2221.717
2010:03:31:23:13:58.427,2010:03:31:23:47:25.729,2007.301
2010:04:03:02:42:57.124,2010:04:03:03:17:18.439,2061.315
2010:04:03:08:32:33.976,2010:04:03:09:02:41.754,1807.778
2010:04:05:12:02:41.751,2010:04:05:12:34:02.309,1880.558
2010:04:05:17:37:03.513,2010:04:05:18:03:46.002,1602.489
2010:04:07:21:09:11.516,2010:04:07:21:37:25.469,1693.953
2010:04:08:02:27:27.244,2010:04:08:02:50:51.024,1403.780
2010:04:10:06:02:48.597,2010:04:10:06:28:00.300,1511.703
2010:04:10:11:04:42.327,2010:04:10:11:25:01.484,1219.158
2010:04:12:14:44:35.592,2010:04:12:15:06:55.548,1339.955
2010:04:12:19:30:14.024,2010:04:12:19:47:46.230,1052.206
2010:04:14:23:15:54.658,2010:04:14:23:35:36.405,1181.746
2010:04:15:03:45:37.054,2010:04:15:04:00:40.887,903.832
2010:04:17:07:38:12.153,2010:04:17:07:55:30.190,1038.037
2010:04:17:11:52:22.848,2010:04:17:12:05:16.233,773.385
2010:04:19:15:52:45.949,2010:04:19:16:07:54.697,908.748
2010:04:19:19:51:50.456,2010:04:19:20:02:50.029,659.573
2010:04:22:00:00:36.790,2010:04:22:00:13:50.204,793.413
2010:04:22:03:45:01.884,2010:04:22:03:54:22.907,561.022
2010:04:24:08:02:25.866,2010:04:24:08:13:57.418,691.552
2010:04:24:11:32:42.613,2010:04:24:11:40:39.094,476.481
2010:04:26:15:58:38.842,2010:04:26:16:08:41.506,602.664
2010:04:26:19:15:26.232,2010:04:26:19:22:10.998,404.766
2010:04:28:23:49:34.584,2010:04:28:23:58:20.652,526.068
2010:04:29:02:53:41.237,2010:04:29:02:59:25.863,344.626
2010:05:01:07:35:34.677,2010:05:01:07:43:15.376,460.700
2010:05:01:10:27:56.932,2010:05:01:10:32:51.557,294.625
2010:05:03:15:17:07.681,2010:05:03:15:23:52.880,405.199
2010:05:03:17:58:45.115,2010:05:03:18:02:58.323,253.208
2010:05:05:22:54:46.863,2010:05:05:23:00:44.946,358.083
2010:05:06:01:26:37.857,2010:05:06:01:30:16.721,218.864
2010:05:08:06:29:05.908,2010:05:08:06:34:23.842,317.934
2010:05:08:08:52:04.763,2010:05:08:08:55:15.025,190.262
2010:05:10:14:00:36.242,2010:05:10:14:05:19.747,283.505
2010:05:10:16:15:31.735,2010:05:10:16:18:18.002,166.267
2010:05:12:21:29:46.314,2010:05:12:21:34:00.035,253.721
2010:05:12:23:37:20.965,2010:05:12:23:39:46.925,145.959
2010:05:15:04:57:01.514,2010:05:15:05:00:49.215,227.701
2010:05:15:06:57:51.292,2010:05:15:06:59:59.881,128.589
2010:05:17:12:22:43.587,2010:05:17:12:26:08.313,204.726
2010:05:17:14:17:18.173,2010:05:17:14:19:11.748,113.575
2010:05:19:19:47:09.278,2010:05:19:19:50:13.564,184.287
2010:05:19:21:35:53.303,2010:05:19:21:37:33.801,100.498
2010:05:22:03:10:29.512,2010:05:22:03:13:15.581,166.069
2010:05:22:04:53:44.552,2010:05:22:04:55:13.632,89.080
2010:05:24:10:32:50.160,2010:05:24:10:35:20.028,149.869
2010:05:24:12:10:56.713,2010:05:24:12:12:15.848,79.135
2010:05:26:17:54:13.965,2010:05:26:17:56:29.518,135.553
2010:05:26:19:27:32.763,2010:05:26:19:28:43.284,70.521
2010:05:29:01:14:42.782,2010:05:29:01:16:45.763,122.981
2010:05:29:02:43:35.101,2010:05:29:02:44:38.202,63.101
2010:05:31:08:34:19.169,2010:05:31:08:36:11.162,111.993
2010:05:31:09:59:06.354,2010:05:31:10:00:03.085,56.731
2010:06:02:15:53:06.913,2010:06:02:15:54:49.301,102.388
2010:06:02:17:14:09.574,2010:06:02:17:15:00.840,51.266
2010:06:04:23:11:10.668,2010:06:04:23:12:44.642,93.974
2010:06:05:00:28:48.045,2010:06:05:00:29:34.605,46.560
2010:06:07:06:28:35.459,2010:06:07:06:30:02.025,86.566
2010:06:07:07:43:05.026,2010:06:07:07:43:47.512,42.486
2010:06:09:13:45:26.426,2010:06:09:13:46:46.419,79.993
2010:06:09:14:57:03.657,2010:06:09:14:57:42.580,38.923
2010:06:11:21:01:48.814,2010:06:11:21:03:02.917,74.103
2010:06:11:22:10:46.964,2010:06:11:22:11:22.750,35.786
2010:06:14:04:17:47.890,2010:06:14:04:18:56.649,68.759
2010:06:14:05:24:17.856,2010:06:14:05:24:50.836,32.979
2010:06:16:11:33:28.390,2010:06:16:11:34:32.251,63.861
2010:06:16:12:37:38.878,2010:06:16:12:38:09.324,30.446
2010:06:18:18:48:53.696,2010:06:18:18:49:53.043,59.347
2010:06:18:19:50:51.846,2010:06:18:19:51:19.990,28.143
2010:06:21:02:04:05.491,2010:06:21:02:05:00.685,55.194
2010:06:21:03:03:57.723,2010:06:21:03:04:23.777,26.054
2010:06:23:09:19:04.156,2010:06:23:09:19:55.548,51.392
2010:06:23:10:16:56.852,2010:06:23:10:17:21.021,24.169
2010:06:25:16:33:49.462,2010:06:25:16:34:37.403,47.941
2010:06:25:17:29:49.273,2010:06:25:17:30:11.752,22.479
2010:06:26:18:43:15.557,2010:06:26:19:55:52.296,4356.739
2010:06:26:22:24:13.094,2010:06:26:23:32:21.327,4088.233
2010:06:27:23:48:21.144,2010:06:27:23:49:05.970,44.826
2010:06:28:00:42:35.004,2010:06:28:00:42:55.985,20.981
2010:06:30:07:02:39.236,2010:06:30:07:03:21.261,42.025
2010:06:30:07:55:14.194,2010:06:30:07:55:33.844,19.650

"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2008:07:03:16:16:07.891,2008:07:03:17:01:45.847,2737.956
2008:07:05:23:29:23.485,2008:07:06:00:13:57.135,2673.650
2008:07:08:06:42:34.129,2008:07:08:07:26:06.340,2612.211
2008:07:10:13:55:40.547,2008:07:10:14:38:13.852,2553.305
2008:07:12:21:08:42.955,2008:07:12:21:50:19.827,2496.872
2008:07:15:04:21:41.304,2008:07:15:05:02:24.284,2442.980
2008:07:17:11:34:35.417,2008:07:17:12:14:27.172,2391.755
2008:07:19:18:47:25.029,2008:07:19:19:26:28.399,2343.370
2008:07:22:02:00:09.874,2008:07:22:02:38:27.846,2297.972
2008:07:24:09:12:49.777,2008:07:24:09:50:25.420,2255.643
2008:07:26:16:25:24.744,2008:07:26:17:02:21.118,2216.374
2008:07:28:23:37:55.088,2008:07:29:00:14:15.072,2179.983
2008:07:31:06:50:21.467,2008:07:31:07:26:07.616,2146.149
2008:08:02:14:02:44.769,2008:08:02:14:37:59.217,2114.448
2008:08:04:21:15:05.850,2008:08:04:21:49:50.346,2084.496
2008:08:07:04:27:25.279,2008:08:07:05:01:41.335,2056.056
2008:08:09:11:39:43.337,2008:08:09:12:13:32.371,2029.035
2008:08:11:18:52:00.075,2008:08:11:19:25:23.518,2003.444
2008:08:14:02:04:15.424,2008:08:14:02:37:14.758,1979.334
2008:08:16:09:16:29.207,2008:08:16:09:49:05.992,1956.785
2008:08:16:22:41:29.049,2008:08:17:00:39:18.990,7069.941
2008:08:18:16:28:41.157,2008:08:18:17:00:57.063,1935.906
2008:08:20:23:40:50.995,2008:08:21:00:12:47.766,1916.771
2008:08:23:06:52:58.493,2008:08:23:07:24:37.918,1899.425
2008:08:25:14:05:03.609,2008:08:25:14:36:27.441,1883.832
2008:08:27:21:17:06.544,2008:08:27:21:48:16.421,1869.877
2008:08:30:04:29:07.708,2008:08:30:05:00:05.112,1857.404
2008:09:01:11:41:07.616,2008:09:01:12:11:53.876,1846.261
2008:09:03:18:53:06.721,2008:09:03:19:23:43.063,1836.342
2008:09:06:02:05:05.329,2008:09:06:02:35:32.939,1827.609
2008:09:08:09:17:03.608,2008:09:08:09:47:23.658,1820.050
2008:09:10:16:29:01.594,2008:09:10:16:59:15.308,1813.714
2008:09:12:23:40:59.232,2008:09:13:00:11:07.881,1808.649
2008:09:15:06:52:56.374,2008:09:15:07:23:01.262,1804.887
2008:09:17:14:04:52.762,2008:09:17:14:34:55.244,1802.483
2008:09:19:21:16:48.125,2008:09:19:21:46:49.543,1801.418
2008:09:22:04:28:42.267,2008:09:22:04:58:43.941,1801.674
2008:09:24:11:40:35.172,2008:09:24:12:10:38.374,1803.202
2008:09:26:18:52:27.022,2008:09:26:19:22:32.979,1805.957
2008:09:29:02:04:18.124,2008:09:29:02:34:28.054,1809.929
2008:10:01:09:16:08.836,2008:10:01:09:46:23.985,1815.149
2008:10:03:16:27:59.464,2008:10:03:16:58:21.149,1821.684
2008:10:05:23:39:50.254,2008:10:06:00:10:19.872,1829.617
2008:10:08:06:51:41.345,2008:10:08:07:22:20.388,1839.043
2008:10:10:14:03:32.815,2008:10:10:14:34:22.860,1850.044
2008:10:12:21:15:24.638,2008:10:12:21:46:27.332,1862.694
2008:10:15:04:27:16.679,2008:10:15:04:58:33.676,1876.997
2008:10:17:11:39:08.677,2008:10:17:12:10:41.581,1892.904
2008:10:19:18:51:00.374,2008:10:19:19:22:50.669,1910.295
2008:10:22:02:02:51.618,2008:10:22:02:35:00.705,1929.087
2008:10:24:09:14:42.452,2008:10:24:09:47:11.702,1949.250
2008:10:26:16:26:33.068,2008:10:26:16:59:23.930,1970.863
2008:10:28:23:38:23.765,2008:10:29:00:11:37.831,1994.066
2008:10:31:06:50:14.878,2008:10:31:07:23:53.955,2019.077
2008:11:02:14:02:06.734,2008:11:02:14:36:12.870,2046.136
2008:11:04:21:13:59.623,2008:11:04:21:48:35.130,2075.507
2008:11:07:04:25:53.791,2008:11:07:05:01:01.221,2107.430
2008:11:09:11:37:49.418,2008:11:09:12:13:31.534,2142.116
2008:11:11:18:49:46.573,2008:11:11:19:26:06.265,2179.692
2008:11:14:02:01:45.155,2008:11:14:02:38:45.261,2220.107
2008:11:16:09:13:44.912,2008:11:16:09:51:28.057,2263.145
2008:11:18:16:25:45.606,2008:11:18:17:04:14.164,2308.557
2008:11:20:23:37:47.178,2008:11:21:00:17:03.409,2356.231
2008:11:23:06:49:49.784,2008:11:23:07:29:56.030,2406.246
2008:11:25:14:01:53.759,2008:11:25:14:42:52.624,2458.865
2008:11:27:21:13:59.568,2008:11:27:21:55:54.065,2514.497
2008:11:30:04:26:07.772,2008:11:30:05:09:01.439,2573.668
2008:12:02:11:38:18.996,2008:12:02:12:22:15.974,2636.977
2008:12:04:18:50:33.909,2008:12:04:19:35:38.978,2705.069
2008:12:07:02:02:53.187,2008:12:07:02:49:11.784,2778.597
2008:12:09:09:15:17.456,2008:12:09:10:02:55.574,2858.119
2008:12:11:16:27:47.147,2008:12:11:17:16:51.106,2943.959
2008:12:13:23:40:22.360,2008:12:14:00:30:58.384,3036.024
2008:12:16:06:53:02.925,2008:12:16:07:45:16.857,3133.932
2008:12:18:14:05:48.760,2008:12:18:14:59:46.130,3237.370
2008:12:20:21:18:40.117,2008:12:20:22:14:26.526,3346.409
2008:12:23:04:31:37.637,2008:12:23:05:29:19.164,3461.527
2008:12:25:11:44:42.338,2008:12:25:12:44:25.884,3583.546
2008:12:27:18:57:55.595,2008:12:27:19:59:49.235,3713.640
2008:12:30:02:11:19.202,2008:12:30:03:15:32.502,3853.300
2009:01:01:09:24:54.365,2009:01:01:10:31:38.693,4004.327
2009:01:03:16:38:45.706,2009:01:03:17:48:14.463,4168.757
2009:01:05:23:52:55.185,2009:01:06:01:05:23.900,4348.715
2009:01:08:07:07:25.872,2009:01:08:08:23:11.974,4546.102
2009:01:10:14:22:20.456,2009:01:10:15:41:42.559,4762.102
2009:01:12:21:37:40.852,2009:01:12:23:00:57.731,4996.879
2009:01:15:04:53:28.593,2009:01:15:06:20:58.642,5250.049
2009:01:17:12:09:45.762,2009:01:17:13:41:47.379,5521.617
2009:01:19:19:26:35.676,2009:01:19:21:03:28.108,5812.433
2009:01:22:02:44:03.125,2009:01:22:04:26:07.335,6124.210
2009:01:24:10:02:14.651,2009:01:24:11:49:54.211,6459.559
2009:01:26:17:21:19.064,2009:01:26:19:15:01.167,6822.103
2009:01:29:00:41:28.124,2009:01:29:02:41:44.752,7216.627
2009:01:31:08:02:57.195,2009:01:31:10:10:26.232,7649.037
2009:02:02:15:26:05.626,2009:02:02:17:41:31.590,8125.964
2009:02:04:22:51:16.567,2009:02:05:01:15:30.457,8653.891
2009:02:07:06:18:55.626,2009:02:07:08:52:53.212,9237.586
2009:02:09:13:49:28.372,2009:02:09:16:34:06.674,9878.301
2009:02:11:21:23:18.831,2009:02:12:00:19:32.203,10573.372
2009:02:14:05:00:51.466,2009:02:14:08:09:29.386,11317.920
2009:02:16:12:42:34.953,2009:02:16:16:04:21.614,12106.660
2009:02:18:20:29:04.704,2009:02:19:00:04:38.945,12934.241
2009:02:21:04:21:04.405,2009:02:21:08:10:59.356,13794.951
2009:02:23:12:19:28.467,2009:02:23:16:24:11.175,14682.709
2009:02:25:20:25:26.005,2009:02:26:00:45:17.212,15591.207
2009:02:28:04:40:24.575,2009:02:28:09:15:37.663,16513.088
2009:03:02:13:06:09.188,2009:03:02:17:56:46.016,17436.828
2009:03:04:21:44:31.313,2009:03:05:02:50:12.808,18341.495
2009:03:07:06:37:04.224,2009:03:07:11:56:55.942,19191.718
2009:03:09:15:44:26.572,2009:03:09:21:16:43.645,19937.073
2009:03:12:01:05:49.032,2009:03:12:06:47:50.853,20521.821
2009:03:14:10:38:48.668,2009:03:14:16:27:11.560,20902.892
2009:03:16:20:19:54.683,2009:03:17:02:10:58.200,21063.517
2009:03:19:06:05:04.482,2009:03:19:11:55:18.910,21014.428
2009:03:21:15:50:17.002,2009:03:21:21:36:43.241,20786.239
2009:03:24:01:32:03.161,2009:03:24:07:12:21.513,20418.352
2009:03:26:11:07:49.887,2009:03:26:16:40:17.277,19947.390
2009:03:28:20:36:06.996,2009:03:29:01:59:24.533,19397.537
2009:03:31:05:56:09.325,2009:03:31:11:09:06.114,18776.789
2009:04:02:15:07:24.937,2009:04:02:20:08:47.822,18082.885
2009:04:05:00:09:14.579,2009:04:05:04:57:50.435,17315.856
2009:04:07:09:00:54.822,2009:04:07:13:35:42.138,16487.316
2009:04:09:17:41:55.588,2009:04:09:22:02:16.732,15621.143
2009:04:12:02:12:16.394,2009:04:12:06:18:02.956,14746.562
2009:04:14:10:32:29.825,2009:04:14:14:23:59.645,13889.820
2009:04:16:18:43:32.340,2009:04:16:22:21:21.958,13069.618
2009:04:19:02:46:31.359,2009:04:19:06:11:28.145,12296.787
2009:04:21:10:42:36.120,2009:04:21:13:55:31.863,11575.743
2009:04:23:18:32:53.512,2009:04:23:21:34:39.335,10905.823
2009:04:26:02:18:25.998,2009:04:26:05:09:48.400,10282.402
2009:04:28:10:00:08.225,2009:04:28:12:41:46.812,9698.587
2009:04:30:17:38:42.017,2009:04:30:20:11:10.141,9148.124
2009:05:03:01:14:34.460,2009:05:03:03:38:22.149,8627.689
2009:05:05:08:48:01.292,2009:05:05:11:03:38.436,8137.145
2009:05:07:16:19:12.593,2009:05:07:18:27:10.617,7678.024
2009:05:09:23:48:17.070,2009:05:10:01:49:09.075,7252.006
2009:05:12:07:15:24.333,2009:05:12:09:09:44.143,6859.810
2009:05:14:14:40:45.282,2009:05:14:16:29:06.191,6500.909
2009:05:16:22:04:31.569,2009:05:16:23:47:25.239,6173.669
2009:05:19:05:26:54.924,2009:05:19:07:04:50.606,5875.681
2009:05:21:12:48:06.914,2009:05:21:14:21:30.862,5603.948
2009:05:23:20:08:19.098,2009:05:23:21:37:33.990,5354.892
2009:05:26:03:27:42.864,2009:05:26:04:53:07.348,5124.484
2009:05:28:10:46:28.137,2009:05:28:12:08:17.070,4908.934
2009:05:30:18:04:41.734,2009:05:30:19:23:07.347,4705.613
2009:06:02:01:22:27.149,2009:06:02:02:37:40.532,4513.382
2009:06:04:08:39:45.781,2009:06:04:09:51:57.835,4332.054
2009:06:06:15:56:38.196,2009:06:06:17:06:00.048,4161.852
2009:06:08:23:13:04.920,2009:06:09:00:19:47.886,4002.966
2009:06:11:06:29:06.779,2009:06:11:07:33:22.182,3855.403
2009:06:13:13:44:45.019,2009:06:13:14:46:43.906,3718.887
2009:06:15:21:00:01.243,2009:06:15:21:59:54.152,3592.909
2009:06:18:04:14:57.386,2009:06:18:05:12:54.100,3476.714
2009:06:20:11:29:35.788,2009:06:20:12:25:45.091,3369.303
2009:06:22:18:43:59.307,2009:06:22:19:38:28.646,3269.338
2009:06:25:01:58:11.090,2009:06:25:02:51:06.385,3175.295
2009:06:27:09:12:13.795,2009:06:27:10:03:39.655,3085.860
2009:06:29:16:26:08.957,2009:06:29:17:16:09.259,3000.302
2009:07:01:23:39:57.087,2009:07:02:00:28:35.506,2918.420
2009:07:04:06:53:38.135,2009:07:04:07:40:58.452,2840.316
2009:07:06:14:07:11.880,2009:07:06:14:53:18.059,2766.179
2009:07:08:21:20:38.088,2009:07:08:22:05:34.285,2696.197
2009:07:11:04:33:56.630,2009:07:11:05:17:47.125,2630.495
2009:07:13:11:47:07.517,2009:07:13:12:29:56.630,2569.113
2009:07:15:19:00:10.955,2009:07:15:19:42:02.931,2511.976
2009:07:18:02:13:07.397,2009:07:18:02:54:06.256,2458.859
2009:07:20:09:25:57.620,2009:07:20:10:06:07.008,2409.388
2009:07:22:16:38:42.788,2009:07:22:17:18:05.768,2362.981
2009:07:24:23:51:24.208,2009:07:25:00:30:03.205,2318.998
2009:07:27:07:04:02.870,2009:07:27:07:41:59.837,2276.967
2009:07:29:14:16:39.241,2009:07:29:14:53:55.939,2236.698
2009:07:31:21:29:13.380,2009:07:31:22:05:51.576,2198.196
2009:08:03:04:41:45.155,2009:08:03:05:17:46.706,2161.551
2009:08:05:11:54:14.337,2009:08:05:12:29:41.229,2126.892
2009:08:07:19:06:40.680,2009:08:07:19:41:35.020,2094.340
2009:08:10:02:19:03.951,2009:08:10:02:53:27.939,2063.988
2009:08:12:09:31:23.986,2009:08:12:10:05:19.872,2035.886
2009:08:14:16:43:40.751,2009:08:14:17:17:10.759,2010.008
2009:08:16:23:55:54.401,2009:08:17:00:29:00.649,1986.249
2009:08:19:07:08:05.352,2009:08:19:07:40:49.758,1964.406
2009:08:21:14:20:14.273,2009:08:21:14:52:38.477,1944.204
2009:08:23:21:32:21.840,2009:08:23:22:04:27.237,1925.397
2009:08:26:04:44:28.516,2009:08:26:05:16:16.360,1907.843
2009:08:28:11:56:34.499,2009:08:28:12:28:06.003,1891.504
2009:08:30:19:08:39.785,2009:08:30:19:39:56.200,1876.415
2009:09:02:02:20:44.270,2009:09:02:02:51:46.905,1862.635
2009:09:04:09:32:47.779,2009:09:04:10:03:38.008,1850.230
2009:09:06:16:44:50.096,2009:09:06:17:15:29.348,1839.252
2009:09:08:23:56:50.984,2009:09:09:00:27:20.729,1829.745
2009:09:11:07:08:50.266,2009:09:11:07:39:11.968,1821.702
2009:09:13:14:20:47.868,2009:09:13:14:51:02.958,1815.090
2009:09:15:21:32:43.895,2009:09:15:22:02:53.738,1809.843
2009:09:18:04:44:38.669,2009:09:18:05:14:44.549,1805.880
2009:09:20:11:56:32.634,2009:09:20:12:26:35.777,1803.143
2009:09:22:19:08:26.223,2009:09:22:19:38:27.828,1801.606
2009:09:25:02:20:19.711,2009:09:25:02:50:21.006,1801.295
2009:09:27:09:32:13.224,2009:09:27:10:02:15.487,1802.263
2009:09:29:16:44:06.772,2009:09:29:17:14:11.334,1804.562
2009:10:01:23:56:00.294,2009:10:02:00:26:08.532,1808.238
2009:10:04:07:07:53.646,2009:10:04:07:38:06.974,1813.328
2009:10:06:14:19:46.625,2009:10:06:14:50:06.452,1819.826
2009:10:08:21:31:39.007,2009:10:08:22:02:06.697,1827.690
2009:10:11:04:43:30.609,2009:10:11:05:14:07.477,1836.869
2009:10:13:11:55:21.388,2009:10:13:12:26:08.678,1847.290
2009:10:15:19:07:11.468,2009:10:15:19:38:10.434,1858.966
2009:10:18:02:19:01.144,2009:10:18:02:50:13.100,1871.956
2009:10:20:09:30:50.790,2009:10:20:10:02:17.176,1886.386
2009:10:22:16:42:40.751,2009:10:22:17:14:23.171,1902.420
2009:10:24:23:54:31.265,2009:10:25:00:26:31.496,1920.230
2009:10:27:07:06:22.492,2009:10:27:07:38:42.444,1939.952
2009:10:29:14:18:14.505,2009:10:29:14:50:56.218,1961.713
2009:10:31:21:30:07.297,2009:10:31:22:03:12.881,1985.584
2009:11:03:04:42:00.765,2009:11:03:05:15:32.337,2011.573
2009:11:05:11:53:54.714,2009:11:05:12:27:54.298,2039.584
2009:11:07:19:05:48.910,2009:11:07:19:40:18.377,2069.467
2009:11:10:02:17:43.204,2009:11:10:02:52:44.281,2101.077
2009:11:12:09:29:37.617,2009:11:12:10:05:12.011,2134.394
2009:11:14:16:41:32.365,2009:11:14:17:17:41.906,2169.540
2009:11:16:23:53:27.820,2009:11:17:00:30:14.612,2206.791
2009:11:19:07:05:24.429,2009:11:19:07:42:50.958,2246.529
2009:11:21:14:17:22.640,2009:11:21:14:55:31.796,2289.156
2009:11:23:21:29:22.858,2009:11:23:22:08:17.932,2335.074
2009:11:26:04:41:25.440,2009:11:26:05:21:10.077,2384.637
2009:11:28:11:53:30.683,2009:11:28:12:34:08.836,2438.154
2009:11:30:19:05:38.780,2009:11:30:19:47:14.587,2495.807
2009:12:03:02:17:49.755,2009:12:03:03:00:27.332,2557.577
2009:12:05:09:30:03.449,2009:12:05:10:13:46.673,2623.224
2009:12:07:16:42:19.656,2009:12:07:17:27:12.077,2692.422
2009:12:09:23:54:38.336,2009:12:10:00:40:43.357,2765.022
2009:12:12:07:06:59.740,2009:12:12:07:54:20.910,2841.170
2009:12:14:14:19:24.414,2009:12:14:15:08:05.748,2921.334
2009:12:16:21:31:53.153,2009:12:16:22:21:59.406,3006.253
2009:12:19:04:44:26.942,2009:12:19:05:36:03.793,3096.851
2009:12:21:11:57:06.896,2009:12:21:12:50:21.059,3194.163
2009:12:23:19:09:54.213,2009:12:23:20:04:53.497,3299.284
2009:12:26:02:22:50.172,2009:12:26:03:19:43.477,3413.305
2009:12:28:09:35:56.041,2009:12:28:10:34:53.291,3537.249
2009:12:30:16:49:12.929,2009:12:30:17:50:24.762,3671.832
2010:01:02:00:02:41.502,2010:01:02:01:06:18.733,3817.231
2010:01:04:07:16:22.006,2010:01:04:08:22:35.092,3973.086
2010:01:06:14:30:14.696,2010:01:06:15:39:13.744,4139.048
2010:01:08:21:44:20.392,2010:01:08:22:56:15.710,4315.318
2010:01:11:04:58:40.739,2010:01:11:06:13:43.541,4502.802
2010:01:13:12:13:18.239,2010:01:13:13:31:41.335,4703.096
2010:01:15:19:28:16.320,2010:01:15:20:50:14.726,4918.406
2010:01:18:02:43:39.392,2010:01:18:04:09:30.899,5151.507
2010:01:20:09:59:32.929,2010:01:20:11:29:38.583,5405.654
2010:01:22:17:16:03.564,2010:01:22:18:50:48.040,5684.476
2010:01:25:00:33:19.111,2010:01:25:02:13:10.927,5991.815
