"Time (YYYY:MM:DD)","Range (km)"
2018:05:21:09:33:11.000,3821.612917
2018:05:21:09:43:11.000,3998.556878
2018:05:21:09:53:11.000,4186.330562
2018:05:21:10:03:11.000,4380.706988
2018:05:21:10:04:32.213,4407.312068
2018:05:21:15:16:58.550,4407.310839
2018:05:21:15:26:58.000,4212.517116
2018:05:21:15:36:58.000,4023.603927
2018:05:21:15:46:58.000,3844.918979
2018:05:21:15:56:58.000,3681.042616
2018:05:21:16:06:58.000,3536.855842
2018:05:21:16:16:58.000,3417.316712
2018:05:21:16:26:58.000,3327.105231
2018:05:21:16:36:58.000,3270.155094
2018:05:21:16:46:58.000,3249.151281
2018:05:21:16:56:58.000,3265.126721
2018:05:21:17:06:58.000,3317.293632
2018:05:21:17:16:58.000,3403.172838
2018:05:21:17:26:58.000,3518.972202
2018:05:21:17:36:58.000,3660.084144
2018:05:21:17:46:58.000,3821.564688
2018:05:21:17:56:58.000,3998.506292
2018:05:21:18:06:58.000,4186.278783
2018:05:21:18:16:58.000,4380.655046
2018:05:21:18:18:19.367,4407.310582
2018:05:21:23:30:45.676,4407.312093
2018:05:21:23:40:45.000,4212.556354
2018:05:21:23:50:45.000,4023.638919
2018:05:22:00:00:45.000,3844.948585
2018:05:22:00:10:45.000,3681.065675
2018:05:22:00:20:45.000,3536.871228
2018:05:22:00:30:45.000,3417.323435
2018:05:22:00:40:45.000,3327.102550
2018:05:22:00:50:45.000,3270.142643
2018:05:22:01:00:45.000,3249.129161
2018:05:22:01:10:45.000,3265.095529
2018:05:22:01:20:45.000,3317.254405
2018:05:22:01:30:45.000,3403.126931
2018:05:22:01:40:45.000,3518.921137
2018:05:22:01:50:45.000,3660.029465
2018:05:22:02:00:45.000,3821.507861
2018:05:22:02:10:45.000,3998.448642
2018:05:22:02:20:45.000,4186.221469
2018:05:22:02:30:45.000,4380.599060
2018:05:22:02:32:06.539,4407.311463
2018:05:22:07:44:32.789,4407.312038
2018:05:22:07:54:32.000,4212.588952
2018:05:22:08:04:32.000,4023.665827
2018:05:22:08:14:32.000,3844.968689
2018:05:22:08:24:32.000,3681.077883
2018:05:22:08:34:32.000,3536.874546
2018:05:22:08:44:32.000,3417.317072
2018:05:22:08:54:32.000,3327.086041
2018:05:22:09:04:32.000,3270.115962
2018:05:22:09:14:32.000,3249.092794
2018:05:22:09:24:32.000,3265.050469
2018:05:22:09:34:32.000,3317.202058
2018:05:22:09:44:32.000,3403.068965
2018:05:22:09:54:32.000,3518.859306
2018:05:22:10:04:32.000,3659.965470
2018:05:22:10:14:32.000,3821.443250
2018:05:22:10:24:32.000,3998.384763
2018:05:22:10:34:32.000,4186.159459
2018:05:22:10:44:32.000,4380.539858
2018:05:22:10:45:53.720,4407.312047
2018:05:22:15:58:19.888,4407.311200
2018:05:22:16:08:19.000,4212.614326
2018:05:22:16:18:19.000,4023.684132
2018:05:22:16:28:19.000,3844.978854
2018:05:22:16:38:19.000,3681.078904
2018:05:22:16:48:19.000,3536.865576
2018:05:22:16:58:19.000,3417.297534
2018:05:22:17:08:19.000,3327.055754
2018:05:22:17:18:19.000,3270.075246
2018:05:22:17:28:19.000,3249.042520
2018:05:22:17:38:19.000,3264.992014
2018:05:22:17:48:19.000,3317.137184
2018:05:22:17:58:19.000,3402.999630
2018:05:22:18:08:19.000,3518.787477
2018:05:22:18:18:19.000,3659.892980
2018:05:22:18:28:19.000,3821.371708
2018:05:22:18:38:19.000,3998.315519
2018:05:22:18:48:19.000,4186.093613
2018:05:22:18:58:19.000,4380.478281
2018:05:22:18:59:40.906,4407.312103
2018:05:23:00:12:06.961,4407.312105
2018:05:23:00:22:06.000,4212.631938
2018:05:23:00:32:06.000,4023.693373
